Answer.bonus,trial,color,workerid,init_images,percentage,type,utterance_label,label,Answer.condition,clicked,Answer.time_in_minutes,block,block_trial,utterance,position
332,6,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,prior,competitor,some,1,10.196216666666666,1,6, The machine dispensed,1
332,6,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,prior,target,some,0,10.196216666666666,1,6, The machine dispensed,2
332,6,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,quantifier,competitor,some,0,10.196216666666666,1,6, The machine dispensed most of the,1
332,6,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,quantifier,target,some,1,10.196216666666666,1,6, The machine dispensed most of the,2
332,6,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,color,competitor,some,0,10.196216666666666,1,6, The machine dispensed most of the blue ones.,1
332,6,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,color,target,some,1,10.196216666666666,1,6, The machine dispensed most of the blue ones.,2
332,7,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,prior,target,some,0,10.196216666666666,1,7, The machine dispensed,1
332,7,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,prior,competitor,some,1,10.196216666666666,1,7, The machine dispensed,2
332,7,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,quantifier,target,some,1,10.196216666666666,1,7, The machine dispensed all of the,1
332,7,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,quantifier,competitor,some,0,10.196216666666666,1,7, The machine dispensed all of the,2
332,7,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,color,target,some,1,10.196216666666666,1,7, The machine dispensed all of the blue ones.,1
332,7,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,color,competitor,some,0,10.196216666666666,1,7, The machine dispensed all of the blue ones.,2
332,8,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,prior,target,some,1,10.196216666666666,1,8, The machine dispensed,1
332,8,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,prior,competitor,some,0,10.196216666666666,1,8, The machine dispensed,2
332,8,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,quantifier,target,some,1,10.196216666666666,1,8, The machine dispensed most of the,1
332,8,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,quantifier,competitor,some,0,10.196216666666666,1,8, The machine dispensed most of the,2
332,8,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,color,target,some,1,10.196216666666666,1,8, The machine dispensed most of the blue ones.,1
332,8,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,color,competitor,some,0,10.196216666666666,1,8, The machine dispensed most of the blue ones.,2
332,9,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,prior,competitor,some,1,10.196216666666666,2,1, The machine dispensed,1
332,9,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,prior,target,some,0,10.196216666666666,2,1, The machine dispensed,2
332,9,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,quantifier,competitor,some,1,10.196216666666666,2,1, The machine dispensed some of the,1
332,9,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,quantifier,target,some,0,10.196216666666666,2,1, The machine dispensed some of the,2
332,9,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,25_60_2,color,competitor,some,0,10.196216666666666,2,1, The machine dispensed some of the blue ones.,1
332,9,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,25_60_2,color,target,some,1,10.196216666666666,2,1, The machine dispensed some of the blue ones.,2
332,10,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,prior,target,some,0,10.196216666666666,2,2, The machine dispensed,1
332,10,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,prior,competitor,some,1,10.196216666666666,2,2, The machine dispensed,2
332,10,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,quantifier,target,some,1,10.196216666666666,2,2, The machine dispensed most of the,1
332,10,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,quantifier,competitor,some,0,10.196216666666666,2,2, The machine dispensed most of the,2
332,10,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,color,target,some,1,10.196216666666666,2,2, The machine dispensed most of the orange ones.,1
332,10,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,color,competitor,some,0,10.196216666666666,2,2, The machine dispensed most of the orange ones.,2
332,11,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,prior,competitor,some,1,10.196216666666666,2,3, The machine dispensed,1
332,11,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,prior,target,some,0,10.196216666666666,2,3, The machine dispensed,2
332,11,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,quantifier,competitor,some,0,10.196216666666666,2,3, The machine dispensed most of the,1
332,11,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,quantifier,target,some,1,10.196216666666666,2,3, The machine dispensed most of the,2
332,11,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_2,color,competitor,some,0,10.196216666666666,2,3, The machine dispensed most of the blue ones.,1
332,11,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_2,color,target,some,1,10.196216666666666,2,3, The machine dispensed most of the blue ones.,2
332,12,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,prior,target,some,0,10.196216666666666,2,4, The machine dispensed,1
332,12,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,prior,competitor,some,1,10.196216666666666,2,4, The machine dispensed,2
332,12,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,quantifier,target,some,1,10.196216666666666,2,4, The machine dispensed none of the,1
332,12,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,quantifier,competitor,some,0,10.196216666666666,2,4, The machine dispensed none of the,2
332,12,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,color,target,some,1,10.196216666666666,2,4, The machine dispensed none of the blue ones.,1
332,12,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,color,competitor,some,0,10.196216666666666,2,4, The machine dispensed none of the blue ones.,2
332,13,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,prior,competitor,some,1,10.196216666666666,2,5, The machine dispensed,1
332,13,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,prior,target,some,0,10.196216666666666,2,5, The machine dispensed,2
332,13,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,quantifier,competitor,some,0,10.196216666666666,2,5, The machine dispensed all of the,1
332,13,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,quantifier,target,some,1,10.196216666666666,2,5, The machine dispensed all of the,2
332,13,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,color,competitor,some,0,10.196216666666666,2,5, The machine dispensed all of the orange ones.,1
332,13,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,color,target,some,1,10.196216666666666,2,5, The machine dispensed all of the orange ones.,2
332,14,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,prior,target,some,0,10.196216666666666,2,6, The machine dispensed,1
332,14,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,prior,competitor,some,1,10.196216666666666,2,6, The machine dispensed,2
332,14,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,quantifier,target,some,1,10.196216666666666,2,6, The machine dispensed some of the,1
332,14,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,quantifier,competitor,some,0,10.196216666666666,2,6, The machine dispensed some of the,2
332,14,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,color,target,some,1,10.196216666666666,2,6, The machine dispensed some of the blue ones.,1
332,14,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,color,competitor,some,0,10.196216666666666,2,6, The machine dispensed some of the blue ones.,2
332,15,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,prior,competitor,some,0,10.196216666666666,2,7, The machine dispensed,1
332,15,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,prior,target,some,1,10.196216666666666,2,7, The machine dispensed,2
332,15,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,quantifier,competitor,some,0,10.196216666666666,2,7, The machine dispensed most of the,1
332,15,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,quantifier,target,some,1,10.196216666666666,2,7, The machine dispensed most of the,2
332,15,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,color,competitor,some,0,10.196216666666666,2,7, The machine dispensed most of the blue ones.,1
332,15,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,color,target,some,1,10.196216666666666,2,7, The machine dispensed most of the blue ones.,2
332,16,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,prior,competitor,some,1,10.196216666666666,2,8, The machine dispensed,1
332,16,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,prior,target,some,0,10.196216666666666,2,8, The machine dispensed,2
332,16,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,quantifier,competitor,some,0,10.196216666666666,2,8, The machine dispensed some of the,1
332,16,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,quantifier,target,some,1,10.196216666666666,2,8, The machine dispensed some of the,2
332,16,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_1,color,competitor,some,0,10.196216666666666,2,8, The machine dispensed some of the orange ones.,1
332,16,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_1,color,target,some,1,10.196216666666666,2,8, The machine dispensed some of the orange ones.,2
332,17,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_2,prior,target,some,0,10.196216666666666,3,1, The machine dispensed,1
332,17,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_2,prior,competitor,some,1,10.196216666666666,3,1, The machine dispensed,2
332,17,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_2,quantifier,target,some,0,10.196216666666666,3,1, The machine dispensed some of the,1
332,17,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_2,quantifier,competitor,some,1,10.196216666666666,3,1, The machine dispensed some of the,2
332,17,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_2,color,target,some,1,10.196216666666666,3,1, The machine dispensed some of the blue ones.,1
332,17,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_2,color,competitor,some,0,10.196216666666666,3,1, The machine dispensed some of the blue ones.,2
332,18,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,prior,competitor,some,1,10.196216666666666,3,2, The machine dispensed,1
332,18,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,prior,target,some,0,10.196216666666666,3,2, The machine dispensed,2
332,18,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,quantifier,competitor,some,0,10.196216666666666,3,2, The machine dispensed none of the,1
332,18,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,quantifier,target,some,1,10.196216666666666,3,2, The machine dispensed none of the,2
332,18,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_2,color,competitor,some,0,10.196216666666666,3,2, The machine dispensed none of the orange ones.,1
332,18,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_2,color,target,some,1,10.196216666666666,3,2, The machine dispensed none of the orange ones.,2
332,19,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,prior,competitor,some,0,10.196216666666666,3,3, The machine dispensed,1
332,19,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,prior,target,some,1,10.196216666666666,3,3, The machine dispensed,2
332,19,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,quantifier,competitor,some,0,10.196216666666666,3,3, The machine dispensed some of the,1
332,19,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,quantifier,target,some,1,10.196216666666666,3,3, The machine dispensed some of the,2
332,19,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,color,competitor,some,0,10.196216666666666,3,3, The machine dispensed some of the orange ones.,1
332,19,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,color,target,some,1,10.196216666666666,3,3, The machine dispensed some of the orange ones.,2
332,20,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,prior,target,some,0,10.196216666666666,3,4, The machine dispensed,1
332,20,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,prior,competitor,some,1,10.196216666666666,3,4, The machine dispensed,2
332,20,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,quantifier,target,some,1,10.196216666666666,3,4, The machine dispensed most of the,1
332,20,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,quantifier,competitor,some,0,10.196216666666666,3,4, The machine dispensed most of the,2
332,20,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,90_0_1,color,target,some,1,10.196216666666666,3,4, The machine dispensed most of the orange ones.,1
332,20,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,90_0_1,color,competitor,some,0,10.196216666666666,3,4, The machine dispensed most of the orange ones.,2
332,21,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,prior,competitor,some,0,10.196216666666666,3,5, The machine dispensed,1
332,21,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,prior,target,some,1,10.196216666666666,3,5, The machine dispensed,2
332,21,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,quantifier,competitor,some,0,10.196216666666666,3,5, The machine dispensed all of the,1
332,21,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,quantifier,target,some,1,10.196216666666666,3,5, The machine dispensed all of the,2
332,21,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,color,competitor,some,0,10.196216666666666,3,5, The machine dispensed all of the orange ones.,1
332,21,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,color,target,some,1,10.196216666666666,3,5, The machine dispensed all of the orange ones.,2
332,22,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,prior,target,some,1,10.196216666666666,3,6, The machine dispensed,1
332,22,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,prior,competitor,some,0,10.196216666666666,3,6, The machine dispensed,2
332,22,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,quantifier,target,some,1,10.196216666666666,3,6, The machine dispensed most of the,1
332,22,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,quantifier,competitor,some,0,10.196216666666666,3,6, The machine dispensed most of the,2
332,22,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,75_100_1,color,target,some,1,10.196216666666666,3,6, The machine dispensed most of the orange ones.,1
332,22,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,75_100_1,color,competitor,some,0,10.196216666666666,3,6, The machine dispensed most of the orange ones.,2
332,23,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,prior,target,some,0,10.196216666666666,3,7, The machine dispensed,1
332,23,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,prior,competitor,some,1,10.196216666666666,3,7, The machine dispensed,2
332,23,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,quantifier,target,some,0,10.196216666666666,3,7, The machine dispensed most of the,1
332,23,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,quantifier,competitor,some,1,10.196216666666666,3,7, The machine dispensed most of the,2
332,23,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,color,target,some,1,10.196216666666666,3,7, The machine dispensed most of the blue ones.,1
332,23,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,color,competitor,some,0,10.196216666666666,3,7, The machine dispensed most of the blue ones.,2
332,24,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_1,prior,target,some,1,10.196216666666666,3,8, The machine dispensed,1
332,24,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_1,prior,competitor,some,0,10.196216666666666,3,8, The machine dispensed,2
332,24,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_1,quantifier,target,some,1,10.196216666666666,3,8, The machine dispensed some of the,1
332,24,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_1,quantifier,competitor,some,0,10.196216666666666,3,8, The machine dispensed some of the,2
332,24,orange,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",60,60_90_1,color,target,some,1,10.196216666666666,3,8, The machine dispensed some of the orange ones.,1
332,24,blue,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,60_90_1,color,competitor,some,0,10.196216666666666,3,8, The machine dispensed some of the orange ones.,2
332,25,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,prior,competitor,some,0,10.196216666666666,4,1, The machine dispensed,1
332,25,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,prior,target,some,1,10.196216666666666,4,1, The machine dispensed,2
332,25,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,quantifier,competitor,some,0,10.196216666666666,4,1, The machine dispensed some of the,1
332,25,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,quantifier,target,some,1,10.196216666666666,4,1, The machine dispensed some of the,2
332,25,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,25_60_1,color,competitor,some,0,10.196216666666666,4,1, The machine dispensed some of the orange ones.,1
332,25,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,25_60_1,color,target,some,1,10.196216666666666,4,1, The machine dispensed some of the orange ones.,2
332,26,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_1,prior,competitor,some,1,10.196216666666666,4,2, The machine dispensed,1
332,26,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_1,prior,target,some,0,10.196216666666666,4,2, The machine dispensed,2
332,26,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_1,quantifier,competitor,some,0,10.196216666666666,4,2, The machine dispensed most of the,1
332,26,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_1,quantifier,target,some,1,10.196216666666666,4,2, The machine dispensed most of the,2
332,26,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,90_0_1,color,competitor,some,0,10.196216666666666,4,2, The machine dispensed most of the orange ones.,1
332,26,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,90_0_1,color,target,some,1,10.196216666666666,4,2, The machine dispensed most of the orange ones.,2
332,27,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,prior,competitor,some,1,10.196216666666666,4,3, The machine dispensed,1
332,27,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,prior,target,some,0,10.196216666666666,4,3, The machine dispensed,2
332,27,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,quantifier,competitor,some,0,10.196216666666666,4,3, The machine dispensed most of the,1
332,27,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,quantifier,target,some,1,10.196216666666666,4,3, The machine dispensed most of the,2
332,27,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",60,60_90_2,color,competitor,some,0,10.196216666666666,4,3, The machine dispensed most of the orange ones.,1
332,27,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,60_90_2,color,target,some,1,10.196216666666666,4,3, The machine dispensed most of the orange ones.,2
332,28,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,prior,target,some,1,10.196216666666666,4,4, The machine dispensed,1
332,28,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,prior,competitor,some,0,10.196216666666666,4,4, The machine dispensed,2
332,28,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,quantifier,target,some,1,10.196216666666666,4,4, The machine dispensed most of the,1
332,28,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,quantifier,competitor,some,0,10.196216666666666,4,4, The machine dispensed most of the,2
332,28,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_1,color,target,some,1,10.196216666666666,4,4, The machine dispensed most of the blue ones.,1
332,28,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_1,color,competitor,some,0,10.196216666666666,4,4, The machine dispensed most of the blue ones.,2
332,29,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,prior,target,some,1,10.196216666666666,4,5, The machine dispensed,1
332,29,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,prior,competitor,some,0,10.196216666666666,4,5, The machine dispensed,2
332,29,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,quantifier,target,some,1,10.196216666666666,4,5, The machine dispensed all of the,1
332,29,orange,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,75_100_2,quantifier,competitor,some,0,10.196216666666666,4,5, The machine dispensed all of the,2
332,29,blue,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,75_100_2,color,target,some,1,10.196216666666666,4,5, The machine dispensed all of the blue ones.,1
