clicked,Answer.time_in_minutes,percentage,block,utterance,label,type,Answer.condition,utterance_label,Answer.bonus,trial,workerid,init_images,color,position,block_trial
1,4.0892333333333335,0,1, The machine dispensed many of the,competitor,90_0_1,many_some,quantifier,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
0,4.0892333333333335,90,1, The machine dispensed many of the,target,90_0_1,many_some,quantifier,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
1,4.0892333333333335,0,1, The machine dispensed many of the blue ones.,competitor,90_0_1,many_some,color,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
0,4.0892333333333335,90,1, The machine dispensed many of the blue ones.,target,90_0_1,many_some,color,224,5,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,0,1, The machine dispensed,target,90_0_2,many_some,prior,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
1,4.0892333333333335,90,1, The machine dispensed,competitor,90_0_2,many_some,prior,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
1,4.0892333333333335,0,1, The machine dispensed none of the,target,90_0_2,many_some,quantifier,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
0,4.0892333333333335,90,1, The machine dispensed none of the,competitor,90_0_2,many_some,quantifier,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
0,4.0892333333333335,0,1, The machine dispensed none of the orange ones.,target,90_0_2,many_some,color,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
1,4.0892333333333335,90,1, The machine dispensed none of the orange ones.,competitor,90_0_2,many_some,color,224,6,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
1,4.0892333333333335,75,1, The machine dispensed,competitor,75_100_2,many_some,prior,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
0,4.0892333333333335,100,1, The machine dispensed,target,75_100_2,many_some,prior,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
1,4.0892333333333335,75,1, The machine dispensed all of the,competitor,75_100_2,many_some,quantifier,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
0,4.0892333333333335,100,1, The machine dispensed all of the,target,75_100_2,many_some,quantifier,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
0,4.0892333333333335,75,1, The machine dispensed all of the blue ones.,competitor,75_100_2,many_some,color,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
1,4.0892333333333335,100,1, The machine dispensed all of the blue ones.,target,75_100_2,many_some,color,224,7,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
1,4.0892333333333335,90,1, The machine dispensed,competitor,60_90_1,many_some,prior,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,8
0,4.0892333333333335,60,1, The machine dispensed,target,60_90_1,many_some,prior,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,8
1,4.0892333333333335,90,1, The machine dispensed some of the,competitor,60_90_1,many_some,quantifier,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,8
0,4.0892333333333335,60,1, The machine dispensed some of the,target,60_90_1,many_some,quantifier,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,8
0,4.0892333333333335,90,1, The machine dispensed some of the blue ones.,competitor,60_90_1,many_some,color,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,8
1,4.0892333333333335,60,1, The machine dispensed some of the blue ones.,target,60_90_1,many_some,color,224,8,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,8
1,4.0892333333333335,90,2, The machine dispensed,target,90_0_1,many_some,prior,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
0,4.0892333333333335,0,2, The machine dispensed,competitor,90_0_1,many_some,prior,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
1,4.0892333333333335,90,2, The machine dispensed many of the,target,90_0_1,many_some,quantifier,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
0,4.0892333333333335,0,2, The machine dispensed many of the,competitor,90_0_1,many_some,quantifier,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
0,4.0892333333333335,90,2, The machine dispensed many of the orange ones.,target,90_0_1,many_some,color,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
1,4.0892333333333335,0,2, The machine dispensed many of the orange ones.,competitor,90_0_1,many_some,color,224,9,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
1,4.0892333333333335,100,2, The machine dispensed,target,75_100_2,many_some,prior,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
0,4.0892333333333335,75,2, The machine dispensed,competitor,75_100_2,many_some,prior,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
0,4.0892333333333335,100,2, The machine dispensed all of the,target,75_100_2,many_some,quantifier,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
1,4.0892333333333335,75,2, The machine dispensed all of the,competitor,75_100_2,many_some,quantifier,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
0,4.0892333333333335,100,2, The machine dispensed all of the orange ones.,target,75_100_2,many_some,color,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,2
1,4.0892333333333335,75,2, The machine dispensed all of the orange ones.,competitor,75_100_2,many_some,color,224,10,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,2
0,4.0892333333333335,90,2, The machine dispensed,target,60_90_2,many_some,prior,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,3
1,4.0892333333333335,60,2, The machine dispensed,competitor,60_90_2,many_some,prior,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,3
0,4.0892333333333335,90,2, The machine dispensed many of the,target,60_90_2,many_some,quantifier,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,3
1,4.0892333333333335,60,2, The machine dispensed many of the,competitor,60_90_2,many_some,quantifier,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,3
0,4.0892333333333335,90,2, The machine dispensed many of the blue ones.,target,60_90_2,many_some,color,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,3
1,4.0892333333333335,60,2, The machine dispensed many of the blue ones.,competitor,60_90_2,many_some,color,224,11,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,3
1,4.0892333333333335,75,2, The machine dispensed,target,75_100_1,many_some,prior,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,4
0,4.0892333333333335,100,2, The machine dispensed,competitor,75_100_1,many_some,prior,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,4
1,4.0892333333333335,75,2, The machine dispensed many of the,target,75_100_1,many_some,quantifier,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,4
0,4.0892333333333335,100,2, The machine dispensed many of the,competitor,75_100_1,many_some,quantifier,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,4
1,4.0892333333333335,75,2, The machine dispensed many of the orange ones.,target,75_100_1,many_some,color,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,4
0,4.0892333333333335,100,2, The machine dispensed many of the orange ones.,competitor,75_100_1,many_some,color,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,4
1,4.0892333333333335,75,2, The machine dispensed many of the orange ones.,target,75_100_1,many_some,color,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,4
0,4.0892333333333335,100,2, The machine dispensed many of the orange ones.,competitor,75_100_1,many_some,color,224,12,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,4
0,4.0892333333333335,0,2, The machine dispensed,target,90_0_2,many_some,prior,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,90,2, The machine dispensed,competitor,90_0_2,many_some,prior,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,0,2, The machine dispensed none of the,target,90_0_2,many_some,quantifier,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,90,2, The machine dispensed none of the,competitor,90_0_2,many_some,quantifier,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,0,2, The machine dispensed none of the orange ones.,target,90_0_2,many_some,color,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,90,2, The machine dispensed none of the orange ones.,competitor,90_0_2,many_some,color,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,0,2, The machine dispensed none of the orange ones.,target,90_0_2,many_some,color,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,90,2, The machine dispensed none of the orange ones.,competitor,90_0_2,many_some,color,224,13,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
1,4.0892333333333335,60,2, The machine dispensed,target,60_90_1,many_some,prior,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,6
0,4.0892333333333335,90,2, The machine dispensed,competitor,60_90_1,many_some,prior,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,6
1,4.0892333333333335,60,2, The machine dispensed some of the,target,60_90_1,many_some,quantifier,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,6
0,4.0892333333333335,90,2, The machine dispensed some of the,competitor,60_90_1,many_some,quantifier,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,6
1,4.0892333333333335,60,2, The machine dispensed some of the blue ones.,target,60_90_1,many_some,color,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,6
0,4.0892333333333335,90,2, The machine dispensed some of the blue ones.,competitor,60_90_1,many_some,color,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,6
1,4.0892333333333335,60,2, The machine dispensed some of the blue ones.,target,60_90_1,many_some,color,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,6
0,4.0892333333333335,90,2, The machine dispensed some of the blue ones.,competitor,60_90_1,many_some,color,224,14,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,6
0,4.0892333333333335,25,2, The machine dispensed,target,25_60_1,many_some,prior,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,7
1,4.0892333333333335,60,2, The machine dispensed,competitor,25_60_1,many_some,prior,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,7
0,4.0892333333333335,25,2, The machine dispensed some of the,target,25_60_1,many_some,quantifier,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,7
1,4.0892333333333335,60,2, The machine dispensed some of the,competitor,25_60_1,many_some,quantifier,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,7
0,4.0892333333333335,25,2, The machine dispensed some of the blue ones.,target,25_60_1,many_some,color,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,7
1,4.0892333333333335,60,2, The machine dispensed some of the blue ones.,competitor,25_60_1,many_some,color,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,7
0,4.0892333333333335,25,2, The machine dispensed some of the blue ones.,target,25_60_1,many_some,color,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,7
1,4.0892333333333335,60,2, The machine dispensed some of the blue ones.,competitor,25_60_1,many_some,color,224,15,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,7
1,4.0892333333333335,25,2, The machine dispensed,competitor,25_60_2,many_some,prior,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,8
0,4.0892333333333335,60,2, The machine dispensed,target,25_60_2,many_some,prior,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,8
0,4.0892333333333335,25,2, The machine dispensed some of the,competitor,25_60_2,many_some,quantifier,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,8
1,4.0892333333333335,60,2, The machine dispensed some of the,target,25_60_2,many_some,quantifier,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,8
0,4.0892333333333335,25,2, The machine dispensed some of the orange ones.,competitor,25_60_2,many_some,color,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,8
1,4.0892333333333335,60,2, The machine dispensed some of the orange ones.,target,25_60_2,many_some,color,224,16,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,8
1,4.0892333333333335,90,3, The machine dispensed,target,60_90_2,many_some,prior,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
0,4.0892333333333335,60,3, The machine dispensed,competitor,60_90_2,many_some,prior,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
1,4.0892333333333335,90,3, The machine dispensed many of the,target,60_90_2,many_some,quantifier,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
0,4.0892333333333335,60,3, The machine dispensed many of the,competitor,60_90_2,many_some,quantifier,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
0,4.0892333333333335,90,3, The machine dispensed many of the orange ones.,target,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
1,4.0892333333333335,60,3, The machine dispensed many of the orange ones.,competitor,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
0,4.0892333333333335,90,3, The machine dispensed many of the orange ones.,target,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
1,4.0892333333333335,60,3, The machine dispensed many of the orange ones.,competitor,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
0,4.0892333333333335,90,3, The machine dispensed many of the orange ones.,target,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,1
1,4.0892333333333335,60,3, The machine dispensed many of the orange ones.,competitor,60_90_2,many_some,color,224,17,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,1
1,4.0892333333333335,90,3, The machine dispensed,competitor,60_90_1,many_some,prior,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,2
0,4.0892333333333335,60,3, The machine dispensed,target,60_90_1,many_some,prior,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,2
1,4.0892333333333335,90,3, The machine dispensed some of the,competitor,60_90_1,many_some,quantifier,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,2
0,4.0892333333333335,60,3, The machine dispensed some of the,target,60_90_1,many_some,quantifier,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,2
1,4.0892333333333335,90,3, The machine dispensed some of the orange ones.,competitor,60_90_1,many_some,color,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,2
0,4.0892333333333335,60,3, The machine dispensed some of the orange ones.,target,60_90_1,many_some,color,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,2
1,4.0892333333333335,90,3, The machine dispensed some of the orange ones.,competitor,60_90_1,many_some,color,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,2
0,4.0892333333333335,60,3, The machine dispensed some of the orange ones.,target,60_90_1,many_some,color,224,18,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,2
0,4.0892333333333335,0,3, The machine dispensed,target,90_0_2,many_some,prior,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,90,3, The machine dispensed,competitor,90_0_2,many_some,prior,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,0,3, The machine dispensed none of the,target,90_0_2,many_some,quantifier,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,90,3, The machine dispensed none of the,competitor,90_0_2,many_some,quantifier,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,0,3, The machine dispensed none of the orange ones.,target,90_0_2,many_some,color,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,90,3, The machine dispensed none of the orange ones.,competitor,90_0_2,many_some,color,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,0,3, The machine dispensed none of the orange ones.,target,90_0_2,many_some,color,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,3
1,4.0892333333333335,90,3, The machine dispensed none of the orange ones.,competitor,90_0_2,many_some,color,224,19,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,3
0,4.0892333333333335,25,3, The machine dispensed,competitor,25_60_2,many_some,prior,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
1,4.0892333333333335,60,3, The machine dispensed,target,25_60_2,many_some,prior,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,25,3, The machine dispensed some of the,competitor,25_60_2,many_some,quantifier,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,60,3, The machine dispensed some of the,target,25_60_2,many_some,quantifier,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,25,3, The machine dispensed some of the orange ones.,competitor,25_60_2,many_some,color,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,60,3, The machine dispensed some of the orange ones.,target,25_60_2,many_some,color,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
1,4.0892333333333335,25,3, The machine dispensed some of the orange ones.,competitor,25_60_2,many_some,color,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",blue,1,4
0,4.0892333333333335,60,3, The machine dispensed some of the orange ones.,target,25_60_2,many_some,color,224,20,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",orange,2,4
0,4.0892333333333335,75,3, The machine dispensed,target,75_100_1,many_some,prior,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,100,3, The machine dispensed,competitor,75_100_1,many_some,prior,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,75,3, The machine dispensed many of the,target,75_100_1,many_some,quantifier,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,100,3, The machine dispensed many of the,competitor,75_100_1,many_some,quantifier,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,75,3, The machine dispensed many of the orange ones.,target,75_100_1,many_some,color,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,100,3, The machine dispensed many of the orange ones.,competitor,75_100_1,many_some,color,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
0,4.0892333333333335,75,3, The machine dispensed many of the orange ones.,target,75_100_1,many_some,color,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,5
1,4.0892333333333335,100,3, The machine dispensed many of the orange ones.,competitor,75_100_1,many_some,color,224,21,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,5
1,4.0892333333333335,90,3, The machine dispensed,target,90_0_1,many_some,prior,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
0,4.0892333333333335,0,3, The machine dispensed,competitor,90_0_1,many_some,prior,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
1,4.0892333333333335,90,3, The machine dispensed many of the,target,90_0_1,many_some,quantifier,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
0,4.0892333333333335,0,3, The machine dispensed many of the,competitor,90_0_1,many_some,quantifier,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
0,4.0892333333333335,90,3, The machine dispensed many of the orange ones.,target,90_0_1,many_some,color,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
1,4.0892333333333335,0,3, The machine dispensed many of the orange ones.,competitor,90_0_1,many_some,color,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
0,4.0892333333333335,90,3, The machine dispensed many of the orange ones.,target,90_0_1,many_some,color,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,6
1,4.0892333333333335,0,3, The machine dispensed many of the orange ones.,competitor,90_0_1,many_some,color,224,22,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,6
0,4.0892333333333335,75,3, The machine dispensed,competitor,75_100_2,many_some,prior,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
1,4.0892333333333335,100,3, The machine dispensed,target,75_100_2,many_some,prior,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
0,4.0892333333333335,75,3, The machine dispensed all of the,competitor,75_100_2,many_some,quantifier,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
1,4.0892333333333335,100,3, The machine dispensed all of the,target,75_100_2,many_some,quantifier,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
0,4.0892333333333335,75,3, The machine dispensed all of the blue ones.,competitor,75_100_2,many_some,color,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
1,4.0892333333333335,100,3, The machine dispensed all of the blue ones.,target,75_100_2,many_some,color,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
0,4.0892333333333335,75,3, The machine dispensed all of the blue ones.,competitor,75_100_2,many_some,color,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,7
1,4.0892333333333335,100,3, The machine dispensed all of the blue ones.,target,75_100_2,many_some,color,224,23,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,7
1,4.0892333333333335,25,3, The machine dispensed,target,25_60_1,many_some,prior,224,24,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,8
0,4.0892333333333335,60,3, The machine dispensed,competitor,25_60_1,many_some,prior,224,24,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,8
1,4.0892333333333335,25,3, The machine dispensed some of the,target,25_60_1,many_some,quantifier,224,24,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",orange,1,8
0,4.0892333333333335,60,3, The machine dispensed some of the,competitor,25_60_1,many_some,quantifier,224,24,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",blue,2,8
