trial,color,block_trial,clicked,utterance,type,Answer.condition,position,Answer.time_in_minutes,Answer.bonus,label,utterance_label,init_images,workerid,block,percentage
13,orange,5,0, The machine dispensed,25_60_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
13,blue,5,1, The machine dispensed,25_60_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
13,orange,5,1, The machine dispensed some of the,25_60_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
13,blue,5,0, The machine dispensed some of the,25_60_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
13,orange,5,1, The machine dispensed some of the orange ones.,25_60_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,25
13,blue,5,0, The machine dispensed some of the orange ones.,25_60_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,60
14,blue,6,0, The machine dispensed,60_90_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
14,orange,6,1, The machine dispensed,60_90_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
14,blue,6,0, The machine dispensed many of the,60_90_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
14,orange,6,1, The machine dispensed many of the,60_90_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
14,blue,6,1, The machine dispensed many of the blue ones.,60_90_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,60
14,orange,6,0, The machine dispensed many of the blue ones.,60_90_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,2,90
15,orange,7,0, The machine dispensed,40_0_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
15,blue,7,1, The machine dispensed,40_0_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
15,orange,7,1, The machine dispensed some of the,40_0_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
15,blue,7,0, The machine dispensed some of the,40_0_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
15,orange,7,1, The machine dispensed some of the orange ones.,40_0_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
15,blue,7,0, The machine dispensed some of the orange ones.,40_0_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
16,orange,8,0, The machine dispensed,40_0_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
16,blue,8,1, The machine dispensed,40_0_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
16,orange,8,0, The machine dispensed none of the,40_0_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
16,blue,8,1, The machine dispensed none of the,40_0_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
16,orange,8,0, The machine dispensed none of the blue ones.,40_0_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,40
16,blue,8,1, The machine dispensed none of the blue ones.,40_0_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,2,0
17,blue,1,1, The machine dispensed,60_90_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,90
17,orange,1,0, The machine dispensed,60_90_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
17,blue,1,1, The machine dispensed many of the,60_90_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,90
17,orange,1,0, The machine dispensed many of the,60_90_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
17,blue,1,1, The machine dispensed many of the blue ones.,60_90_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,90
17,orange,1,0, The machine dispensed many of the blue ones.,60_90_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
18,orange,2,0, The machine dispensed,60_90_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
18,blue,2,1, The machine dispensed,60_90_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,90
18,orange,2,0, The machine dispensed many of the,60_90_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
18,blue,2,1, The machine dispensed many of the,60_90_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,90
18,orange,2,1, The machine dispensed many of the orange ones.,60_90_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
18,blue,2,0, The machine dispensed many of the orange ones.,60_90_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,90
19,orange,3,0, The machine dispensed,25_60_1,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
19,blue,3,1, The machine dispensed,25_60_1,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,25
19,orange,3,0, The machine dispensed some of the,25_60_1,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
19,blue,3,1, The machine dispensed some of the,25_60_1,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,25
19,orange,3,0, The machine dispensed some of the blue ones.,25_60_1,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,60
19,blue,3,1, The machine dispensed some of the blue ones.,25_60_1,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,3,25
20,blue,4,0, The machine dispensed,25_100_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
20,orange,4,1, The machine dispensed,25_100_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
20,blue,4,1, The machine dispensed some of the,25_100_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
20,orange,4,0, The machine dispensed some of the,25_100_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
20,blue,4,1, The machine dispensed some of the blue ones.,25_100_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
20,orange,4,0, The machine dispensed some of the blue ones.,25_100_1,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
21,blue,5,0, The machine dispensed,25_60_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
21,orange,5,1, The machine dispensed,25_60_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
21,blue,5,1, The machine dispensed many of the,25_60_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
21,orange,5,0, The machine dispensed many of the,25_60_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
21,blue,5,1, The machine dispensed many of the blue ones.,25_60_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,60
21,orange,5,0, The machine dispensed many of the blue ones.,25_60_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
22,blue,6,1, The machine dispensed,25_100_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
22,orange,6,0, The machine dispensed,25_100_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
22,blue,6,1, The machine dispensed all of the,25_100_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
22,orange,6,0, The machine dispensed all of the,25_100_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
22,blue,6,1, The machine dispensed all of the blue ones.,25_100_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,100
22,orange,6,0, The machine dispensed all of the blue ones.,25_100_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,25
23,blue,7,1, The machine dispensed,40_0_1,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
23,orange,7,0, The machine dispensed,40_0_1,many_many,2,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
23,blue,7,0, The machine dispensed some of the,40_0_1,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
23,orange,7,1, The machine dispensed some of the,40_0_1,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
23,blue,7,0, The machine dispensed some of the orange ones.,40_0_1,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
23,orange,7,1, The machine dispensed some of the orange ones.,40_0_1,many_many,2,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
24,blue,8,0, The machine dispensed,40_0_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
24,orange,8,1, The machine dispensed,40_0_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
24,blue,8,0, The machine dispensed none of the,40_0_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
24,orange,8,1, The machine dispensed none of the,40_0_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
24,blue,8,0, The machine dispensed none of the orange ones.,40_0_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,40
24,orange,8,1, The machine dispensed none of the orange ones.,40_0_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,3,0
25,orange,1,0, The machine dispensed,40_0_1,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,0
25,blue,1,1, The machine dispensed,40_0_1,many_many,2,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,40
25,orange,1,0, The machine dispensed some of the,40_0_1,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,0
25,blue,1,1, The machine dispensed some of the,40_0_1,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,40
25,orange,1,0, The machine dispensed some of the blue ones.,40_0_1,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,0
25,blue,1,1, The machine dispensed some of the blue ones.,40_0_1,many_many,2,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,40
26,blue,2,0, The machine dispensed,25_60_2,many_many,1,7.0483666666666664,331,competitor,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,25
26,orange,2,1, The machine dispensed,25_60_2,many_many,2,7.0483666666666664,331,target,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,60
26,blue,2,0, The machine dispensed many of the,25_60_2,many_many,1,7.0483666666666664,331,competitor,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,25
26,orange,2,1, The machine dispensed many of the,25_60_2,many_many,2,7.0483666666666664,331,target,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,60
26,blue,2,0, The machine dispensed many of the orange ones.,25_60_2,many_many,1,7.0483666666666664,331,competitor,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,25
26,orange,2,1, The machine dispensed many of the orange ones.,25_60_2,many_many,2,7.0483666666666664,331,target,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,4,60
27,orange,3,1, The machine dispensed,25_100_2,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,100
27,blue,3,0, The machine dispensed,25_100_2,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
27,orange,3,1, The machine dispensed all of the,25_100_2,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,100
27,blue,3,0, The machine dispensed all of the,25_100_2,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
27,orange,3,1, The machine dispensed all of the orange ones.,25_100_2,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,100
27,blue,3,0, The machine dispensed all of the orange ones.,25_100_2,many_many,2,7.0483666666666664,331,competitor,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
28,orange,4,0, The machine dispensed,25_100_1,many_many,1,7.0483666666666664,331,target,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
28,blue,4,1, The machine dispensed,25_100_1,many_many,2,7.0483666666666664,331,competitor,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,100
28,orange,4,1, The machine dispensed some of the,25_100_1,many_many,1,7.0483666666666664,331,target,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
28,blue,4,0, The machine dispensed some of the,25_100_1,many_many,2,7.0483666666666664,331,competitor,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,100
28,orange,4,1, The machine dispensed some of the orange ones.,25_100_1,many_many,1,7.0483666666666664,331,target,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,4,25
