quantifier,Answer.time_in_minutes,block_trial,utterance_label,color,type,position,Answer.bonus,label,utterance,trial,Answer.condition,clicked,percentage,init_images,workerid,block
none,2.1655,4,quantifier,orange,0_100_1,1,12,target, The machine dispensed none of the,4,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
none,2.1655,4,quantifier,blue,0_100_1,2,12,competitor, The machine dispensed none of the,4,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
none,2.1655,4,color,orange,0_100_1,1,12,target, The machine dispensed none of the orange ones.,4,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
none,2.1655,4,color,blue,0_100_1,2,12,competitor, The machine dispensed none of the orange ones.,4,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,0
all,3.5049333333333332,1,quantifier,orange,0_100_2,1,12,target, The machine dispensed all of the,1,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,1,quantifier,blue,0_100_2,2,12,competitor, The machine dispensed all of the,1,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,1,color,orange,0_100_2,1,12,target, The machine dispensed all of the orange ones.,1,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,1,color,blue,0_100_2,2,12,competitor, The machine dispensed all of the orange ones.,1,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,2,quantifier,orange,0_100_1,1,12,target, The machine dispensed none of the,2,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,2,quantifier,blue,0_100_1,2,12,competitor, The machine dispensed none of the,2,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,2,color,orange,0_100_1,1,12,target, The machine dispensed none of the orange ones.,2,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,2,color,blue,0_100_1,2,12,competitor, The machine dispensed none of the orange ones.,2,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,3,quantifier,orange,0_100_1,1,12,competitor, The machine dispensed none of the,3,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,3,quantifier,blue,0_100_1,2,12,target, The machine dispensed none of the,3,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,3,color,orange,0_100_1,1,12,competitor, The machine dispensed none of the blue ones.,3,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
none,3.5049333333333332,3,color,blue,0_100_1,2,12,target, The machine dispensed none of the blue ones.,3,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,4,quantifier,orange,0_100_2,1,12,competitor, The machine dispensed all of the,4,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,4,quantifier,blue,0_100_2,2,12,target, The machine dispensed all of the,4,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,4,color,orange,0_100_2,1,12,competitor, The machine dispensed all of the blue ones.,4,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,3.5049333333333332,4,color,blue,0_100_2,2,12,target, The machine dispensed all of the blue ones.,4,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,0
all,2.031833333333333,1,quantifier,orange,0_100_2,1,12,competitor, The machine dispensed all of the,1,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,1,quantifier,blue,0_100_2,2,12,target, The machine dispensed all of the,1,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,1,color,orange,0_100_2,1,12,competitor, The machine dispensed all of the blue ones.,1,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,1,color,blue,0_100_2,2,12,target, The machine dispensed all of the blue ones.,1,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
none,2.031833333333333,2,quantifier,orange,0_100_1,1,12,target, The machine dispensed none of the,2,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
none,2.031833333333333,2,quantifier,blue,0_100_1,2,12,competitor, The machine dispensed none of the,2,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
none,2.031833333333333,2,color,orange,0_100_1,1,12,target, The machine dispensed none of the orange ones.,2,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
none,2.031833333333333,2,color,blue,0_100_1,2,12,competitor, The machine dispensed none of the orange ones.,2,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,3,quantifier,orange,0_100_2,1,12,target, The machine dispensed all of the,3,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,3,quantifier,blue,0_100_2,2,12,competitor, The machine dispensed all of the,3,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,3,color,orange,0_100_2,1,12,target, The machine dispensed all of the orange ones.,3,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
all,2.031833333333333,3,color,blue,0_100_2,2,12,competitor, The machine dispensed all of the orange ones.,3,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,0
none,2.031833333333333,4,quantifier,blue,0_100_1,1,12,competitor, The machine dispensed none of the,4,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,0
none,2.031833333333333,4,quantifier,orange,0_100_1,2,12,target, The machine dispensed none of the,4,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,0
none,2.031833333333333,4,color,blue,0_100_1,1,12,competitor, The machine dispensed none of the orange ones.,4,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,0
none,2.031833333333333,4,color,orange,0_100_1,2,12,target, The machine dispensed none of the orange ones.,4,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,0
none,7.99625,1,quantifier,orange,0_100_1,1,10,competitor, The machine dispensed none of the,1,many_most,0,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",4,0
none,7.99625,1,quantifier,blue,0_100_1,2,10,target, The machine dispensed none of the,1,many_most,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",4,0
none,7.99625,1,color,orange,0_100_1,1,10,competitor, The machine dispensed none of the blue ones.,1,many_most,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",4,0
none,7.99625,1,color,blue,0_100_1,2,10,target, The machine dispensed none of the blue ones.,1,many_most,0,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",4,0
none,7.99625,2,quantifier,blue,0_100_1,1,10,competitor, The machine dispensed none of the,2,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
none,7.99625,2,quantifier,orange,0_100_1,2,10,target, The machine dispensed none of the,2,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
none,7.99625,2,color,blue,0_100_1,1,10,competitor, The machine dispensed none of the orange ones.,2,many_most,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
none,7.99625,2,color,orange,0_100_1,2,10,target, The machine dispensed none of the orange ones.,2,many_most,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,3,quantifier,blue,0_100_2,1,10,competitor, The machine dispensed all of the,3,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,3,quantifier,orange,0_100_2,2,10,target, The machine dispensed all of the,3,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,3,color,blue,0_100_2,1,10,competitor, The machine dispensed all of the orange ones.,3,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,3,color,orange,0_100_2,2,10,target, The machine dispensed all of the orange ones.,3,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,4,quantifier,blue,0_100_2,1,10,target, The machine dispensed all of the,4,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,4,quantifier,orange,0_100_2,2,10,competitor, The machine dispensed all of the,4,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,4,color,blue,0_100_2,1,10,target, The machine dispensed all of the blue ones.,4,many_most,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.99625,4,color,orange,0_100_2,2,10,competitor, The machine dispensed all of the blue ones.,4,many_most,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",4,0
all,7.771733333333334,1,quantifier,blue,0_100_2,1,144,competitor, The machine dispensed all of the,1,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,1,quantifier,orange,0_100_2,2,144,target, The machine dispensed all of the,1,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,1,color,blue,0_100_2,1,144,competitor, The machine dispensed all of the orange ones.,1,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,1,color,orange,0_100_2,2,144,target, The machine dispensed all of the orange ones.,1,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,2,quantifier,blue,0_100_1,1,144,competitor, The machine dispensed none of the,2,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,2,quantifier,orange,0_100_1,2,144,target, The machine dispensed none of the,2,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,2,color,blue,0_100_1,1,144,competitor, The machine dispensed none of the orange ones.,2,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,2,color,orange,0_100_1,2,144,target, The machine dispensed none of the orange ones.,2,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,3,quantifier,blue,0_100_2,1,144,competitor, The machine dispensed all of the,3,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,3,quantifier,orange,0_100_2,2,144,target, The machine dispensed all of the,3,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,3,color,blue,0_100_2,1,144,competitor, The machine dispensed all of the orange ones.,3,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
all,7.771733333333334,3,color,orange,0_100_2,2,144,target, The machine dispensed all of the orange ones.,3,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,4,quantifier,blue,0_100_1,1,144,competitor, The machine dispensed none of the,4,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,4,quantifier,orange,0_100_1,2,144,target, The machine dispensed none of the,4,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,4,color,blue,0_100_1,1,144,competitor, The machine dispensed none of the orange ones.,4,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
none,7.771733333333334,4,color,orange,0_100_1,2,144,target, The machine dispensed none of the orange ones.,4,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,0
many,7.771733333333334,1,quantifier,blue,50_90_2,1,144,competitor, The machine dispensed many of the,5,many_many,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,1,quantifier,orange,50_90_2,2,144,target, The machine dispensed many of the,5,many_many,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,1,color,blue,50_90_2,1,144,competitor, The machine dispensed many of the orange ones.,5,many_many,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,1,color,orange,50_90_2,2,144,target, The machine dispensed many of the orange ones.,5,many_many,1,90,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,2,quantifier,blue,40_0_1,1,144,competitor, The machine dispensed some of the,6,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,2,quantifier,orange,40_0_1,2,144,target, The machine dispensed some of the,6,many_many,1,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,2,color,blue,40_0_1,1,144,competitor, The machine dispensed some of the orange ones.,6,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,2,color,orange,40_0_1,2,144,target, The machine dispensed some of the orange ones.,6,many_many,1,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,3,quantifier,orange,50_90_1,1,144,target, The machine dispensed many of the,7,many_many,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
many,7.771733333333334,3,quantifier,blue,50_90_1,2,144,competitor, The machine dispensed many of the,7,many_many,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
many,7.771733333333334,3,color,orange,50_90_1,1,144,target, The machine dispensed many of the orange ones.,7,many_many,0,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
many,7.771733333333334,3,color,blue,50_90_1,2,144,competitor, The machine dispensed many of the orange ones.,7,many_many,1,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
many,7.771733333333334,4,quantifier,blue,25_50_2,1,144,competitor, The machine dispensed many of the,8,many_many,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,4,quantifier,orange,25_50_2,2,144,target, The machine dispensed many of the,8,many_many,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,4,color,blue,25_50_2,1,144,competitor, The machine dispensed many of the orange ones.,8,many_many,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
many,7.771733333333334,4,color,orange,25_50_2,2,144,target, The machine dispensed many of the orange ones.,8,many_many,0,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,5,quantifier,blue,25_50_1,1,144,competitor, The machine dispensed some of the,9,many_many,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,5,quantifier,orange,25_50_1,2,144,target, The machine dispensed some of the,9,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,5,color,blue,25_50_1,1,144,competitor, The machine dispensed some of the orange ones.,9,many_many,1,50,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,5,color,orange,25_50_1,2,144,target, The machine dispensed some of the orange ones.,9,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
none,7.771733333333334,6,quantifier,orange,40_0_2,1,144,target, The machine dispensed none of the,10,many_many,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
none,7.771733333333334,6,quantifier,blue,40_0_2,2,144,competitor, The machine dispensed none of the,10,many_many,0,40,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
none,7.771733333333334,6,color,orange,40_0_2,1,144,target, The machine dispensed none of the orange ones.,10,many_many,1,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
none,7.771733333333334,6,color,blue,40_0_2,2,144,competitor, The machine dispensed none of the orange ones.,10,many_many,0,40,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
some,7.771733333333334,7,quantifier,blue,25_100_1,1,144,competitor, The machine dispensed some of the,11,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,7,quantifier,orange,25_100_1,2,144,target, The machine dispensed some of the,11,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,7,color,blue,25_100_1,1,144,competitor, The machine dispensed some of the orange ones.,11,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
some,7.771733333333334,7,color,orange,25_100_1,2,144,target, The machine dispensed some of the orange ones.,11,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,1
all,7.771733333333334,8,quantifier,orange,25_100_2,1,144,target, The machine dispensed all of the,12,many_many,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
all,7.771733333333334,8,quantifier,blue,25_100_2,2,144,competitor, The machine dispensed all of the,12,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
all,7.771733333333334,8,color,orange,25_100_2,1,144,target, The machine dispensed all of the orange ones.,12,many_many,1,100,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
all,7.771733333333334,8,color,blue,25_100_2,2,144,competitor, The machine dispensed all of the orange ones.,12,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,1
many,7.771733333333334,1,quantifier,orange,50_90_2,1,144,target, The machine dispensed many of the,13,many_many,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,1,quantifier,blue,50_90_2,2,144,competitor, The machine dispensed many of the,13,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,1,color,orange,50_90_2,1,144,target, The machine dispensed many of the orange ones.,13,many_many,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,1,color,blue,50_90_2,2,144,competitor, The machine dispensed many of the orange ones.,13,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
all,7.771733333333334,2,quantifier,blue,25_100_2,1,144,competitor, The machine dispensed all of the,14,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
all,7.771733333333334,2,quantifier,orange,25_100_2,2,144,target, The machine dispensed all of the,14,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
all,7.771733333333334,2,color,blue,25_100_2,1,144,competitor, The machine dispensed all of the orange ones.,14,many_many,0,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
all,7.771733333333334,2,color,orange,25_100_2,2,144,target, The machine dispensed all of the orange ones.,14,many_many,1,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
many,7.771733333333334,3,quantifier,orange,25_50_2,1,144,target, The machine dispensed many of the,15,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,3,quantifier,blue,25_50_2,2,144,competitor, The machine dispensed many of the,15,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,3,color,orange,25_50_2,1,144,target, The machine dispensed many of the orange ones.,15,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,3,color,blue,25_50_2,2,144,competitor, The machine dispensed many of the orange ones.,15,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
some,7.771733333333334,4,quantifier,blue,40_0_1,1,144,competitor, The machine dispensed some of the,16,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,4,quantifier,orange,40_0_1,2,144,target, The machine dispensed some of the,16,many_many,1,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,4,color,blue,40_0_1,1,144,competitor, The machine dispensed some of the orange ones.,16,many_many,0,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,4,color,orange,40_0_1,2,144,target, The machine dispensed some of the orange ones.,16,many_many,1,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
none,7.771733333333334,5,quantifier,blue,40_0_2,1,144,competitor, The machine dispensed none of the,17,many_many,0,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
none,7.771733333333334,5,quantifier,orange,40_0_2,2,144,target, The machine dispensed none of the,17,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
none,7.771733333333334,5,color,blue,40_0_2,1,144,competitor, The machine dispensed none of the orange ones.,17,many_many,0,40,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
none,7.771733333333334,5,color,orange,40_0_2,2,144,target, The machine dispensed none of the orange ones.,17,many_many,1,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,6,quantifier,blue,25_100_1,1,144,target, The machine dispensed some of the,18,many_many,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,6,quantifier,orange,25_100_1,2,144,competitor, The machine dispensed some of the,18,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,6,color,blue,25_100_1,1,144,target, The machine dispensed some of the blue ones.,18,many_many,1,25,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,6,color,orange,25_100_1,2,144,competitor, The machine dispensed some of the blue ones.,18,many_many,0,100,"['gumball_blue_0.png', 'gumball_orange_0.png']",5,2
some,7.771733333333334,7,quantifier,orange,25_50_1,1,144,competitor, The machine dispensed some of the,19,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
some,7.771733333333334,7,quantifier,blue,25_50_1,2,144,target, The machine dispensed some of the,19,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
some,7.771733333333334,7,color,orange,25_50_1,1,144,competitor, The machine dispensed some of the blue ones.,19,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
some,7.771733333333334,7,color,blue,25_50_1,2,144,target, The machine dispensed some of the blue ones.,19,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,8,quantifier,orange,50_90_1,1,144,competitor, The machine dispensed many of the,20,many_many,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,8,quantifier,blue,50_90_1,2,144,target, The machine dispensed many of the,20,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,8,color,orange,50_90_1,1,144,competitor, The machine dispensed many of the blue ones.,20,many_many,0,90,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
many,7.771733333333334,8,color,blue,50_90_1,2,144,target, The machine dispensed many of the blue ones.,20,many_many,1,50,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,2
all,7.771733333333334,1,quantifier,orange,25_100_2,1,144,competitor, The machine dispensed all of the,21,many_many,0,25,"['gumball_orange_0.png', 'gumball_blue_0.png']",5,3
