Answer.misread_instructions,proportion,sentence,quantifier,rating,Answer.condition,trial,Answer.time_in_minutes,workerid
,25,... all of the gumballs.,all,0,,5,7.3968,1
,25,... most of the gumballs.,most,0,,5,7.3968,1
,25,... some of the gumballs.,some,1,,5,7.3968,1
,25,,other,0,,5,7.3968,1
,60,... all of the gumballs.,all,0,,6,7.3968,1
,60,... most of the gumballs.,most,0.79,,6,7.3968,1
,60,... some of the gumballs.,some,0.20999999999999996,,6,7.3968,1
,60,,other,0,,6,7.3968,1
,100,... all of the gumballs.,all,1,,7,7.3968,1
,100,... most of the gumballs.,most,0,,7,7.3968,1
,100,... some of the gumballs.,some,0,,7,7.3968,1
,100,,other,0,,7,7.3968,1
,90,... all of the gumballs.,all,0.11,,8,7.3968,1
,90,... most of the gumballs.,most,0.8,,8,7.3968,1
,90,... some of the gumballs.,some,0.08999999999999986,,8,7.3968,1
,90,,other,0,,8,7.3968,1
,75,... all of the gumballs.,all,0.07,,9,7.3968,1
,75,... most of the gumballs.,most,0.86,,9,7.3968,1
,75,... some of the gumballs.,some,0.07000000000000006,,9,7.3968,1
,75,,other,0,,9,7.3968,1
,10,... all of the gumballs.,all,0,,10,7.3968,1
,10,... most of the gumballs.,most,0,,10,7.3968,1
,10,... some of the gumballs.,some,0.38,,10,7.3968,1
,10,,other,0.6200000000000001,,10,7.3968,1
,50,... all of the gumballs.,all,0,,11,7.3968,1
,50,... most of the gumballs.,most,0.21,,11,7.3968,1
,50,... some of the gumballs.,some,0.79,,11,7.3968,1
,50,,other,0,,11,7.3968,1
,90,... all of the gumballs.,all,0.12,,12,7.3968,1
,90,... most of the gumballs.,most,0.82,,12,7.3968,1
,90,... some of the gumballs.,some,0.05999999999999994,,12,7.3968,1
,90,,other,0,,12,7.3968,1
,75,... all of the gumballs.,all,0.04,,13,7.3968,1
,75,... most of the gumballs.,most,0.9,,13,7.3968,1
,75,... some of the gumballs.,some,0.06000000000000005,,13,7.3968,1
,75,,other,0,,13,7.3968,1
,10,... all of the gumballs.,all,0,,14,7.3968,1
,10,... most of the gumballs.,most,0,,14,7.3968,1
,10,... some of the gumballs.,some,0.35,,14,7.3968,1
,10,,other,0.6499999999999999,,14,7.3968,1
,40,... all of the gumballs.,all,0,,15,7.3968,1
,40,... most of the gumballs.,most,0.06,,15,7.3968,1
,40,... some of the gumballs.,some,0.94,,15,7.3968,1
,40,,other,0,,15,7.3968,1
,60,... all of the gumballs.,all,0,,16,7.3968,1
,60,... most of the gumballs.,most,0.31999999999999984,,16,7.3968,1
,60,... some of the gumballs.,some,0.68,,16,7.3968,1
,60,,other,0,,16,7.3968,1
,10,... all of the gumballs.,all,0,,1,3.6561833333333333,2
,10,... most of the gumballs.,most,0,,1,3.6561833333333333,2
,10,... some of the gumballs.,some,1,,1,3.6561833333333333,2
,10,,other,0,,1,3.6561833333333333,2
,90,... all of the gumballs.,all,0,,2,3.6561833333333333,2
,90,... most of the gumballs.,most,1,,2,3.6561833333333333,2
,90,... some of the gumballs.,some,0,,2,3.6561833333333333,2
,90,,other,0,,2,3.6561833333333333,2
,10,... all of the gumballs.,all,0,,3,3.6561833333333333,2
,10,... most of the gumballs.,most,0,,3,3.6561833333333333,2
,10,... some of the gumballs.,some,1,,3,3.6561833333333333,2
,10,,other,0,,3,3.6561833333333333,2
,25,... all of the gumballs.,all,0,,4,3.6561833333333333,2
,25,... most of the gumballs.,most,0,,4,3.6561833333333333,2
,25,... some of the gumballs.,some,1,,4,3.6561833333333333,2
,25,,other,0,,4,3.6561833333333333,2
,60,... all of the gumballs.,all,0,,5,3.6561833333333333,2
,60,... most of the gumballs.,most,0.5,,5,3.6561833333333333,2
,60,... some of the gumballs.,some,0.5,,5,3.6561833333333333,2
,60,,other,0,,5,3.6561833333333333,2
,50,... all of the gumballs.,all,0,,6,3.6561833333333333,2
,50,... most of the gumballs.,most,0.53,,6,3.6561833333333333,2
,50,... some of the gumballs.,some,0.47,,6,3.6561833333333333,2
,50,,other,0,,6,3.6561833333333333,2
,40,... all of the gumballs.,all,0,,7,3.6561833333333333,2
,40,... most of the gumballs.,most,0.2499999999999999,,7,3.6561833333333333,2
,40,... some of the gumballs.,some,0.75,,7,3.6561833333333333,2
,40,,other,0,,7,3.6561833333333333,2
,60,... all of the gumballs.,all,0,,8,3.6561833333333333,2
,60,... most of the gumballs.,most,1,,8,3.6561833333333333,2
,60,... some of the gumballs.,some,0,,8,3.6561833333333333,2
,60,,other,0,,8,3.6561833333333333,2
,75,... all of the gumballs.,all,0,,9,3.6561833333333333,2
,75,... most of the gumballs.,most,1,,9,3.6561833333333333,2
,75,... some of the gumballs.,some,0,,9,3.6561833333333333,2
,75,,other,0,,9,3.6561833333333333,2
,25,... all of the gumballs.,all,0,,10,3.6561833333333333,2
,25,... most of the gumballs.,most,0,,10,3.6561833333333333,2
,25,... some of the gumballs.,some,1,,10,3.6561833333333333,2
,25,,other,0,,10,3.6561833333333333,2
,40,... all of the gumballs.,all,0,,11,3.6561833333333333,2
,40,... most of the gumballs.,most,0,,11,3.6561833333333333,2
,40,... some of the gumballs.,some,1,,11,3.6561833333333333,2
,40,,other,0,,11,3.6561833333333333,2
,75,... all of the gumballs.,all,0,,12,3.6561833333333333,2
,75,... most of the gumballs.,most,1,,12,3.6561833333333333,2
,75,... some of the gumballs.,some,0,,12,3.6561833333333333,2
,75,,other,0,,12,3.6561833333333333,2
,100,... all of the gumballs.,all,1,,13,3.6561833333333333,2
,100,... most of the gumballs.,most,0,,13,3.6561833333333333,2
,100,... some of the gumballs.,some,0,,13,3.6561833333333333,2
,100,,other,0,,13,3.6561833333333333,2
,100,... all of the gumballs.,all,1,,14,3.6561833333333333,2
,100,... most of the gumballs.,most,0,,14,3.6561833333333333,2
,100,... some of the gumballs.,some,0,,14,3.6561833333333333,2
,100,,other,0,,14,3.6561833333333333,2
,50,... all of the gumballs.,all,0,,15,3.6561833333333333,2
,50,... most of the gumballs.,most,0,,15,3.6561833333333333,2
,50,... some of the gumballs.,some,1,,15,3.6561833333333333,2
,50,,other,0,,15,3.6561833333333333,2
,90,... all of the gumballs.,all,0,,16,3.6561833333333333,2
,90,... most of the gumballs.,most,1,,16,3.6561833333333333,2
,90,... some of the gumballs.,some,0,,16,3.6561833333333333,2
,90,,other,0,,16,3.6561833333333333,2
,90,... most of the gumballs.,most,1,,1,4.08145,3
,90,... some of the gumballs.,some,0,,1,4.08145,3
,90,... all of the gumballs.,all,0,,1,4.08145,3
,90,,other,0,,1,4.08145,3
,100,... most of the gumballs.,most,0,,2,4.08145,3
,100,... some of the gumballs.,some,0,,2,4.08145,3
,100,... all of the gumballs.,all,1,,2,4.08145,3
,100,,other,0,,2,4.08145,3
,40,... most of the gumballs.,most,0.49,,3,4.08145,3
,40,... some of the gumballs.,some,0.51,,3,4.08145,3
,40,... all of the gumballs.,all,0,,3,4.08145,3
,40,,other,0,,3,4.08145,3
,75,... most of the gumballs.,most,0,,4,4.08145,3
,75,... some of the gumballs.,some,1,,4,4.08145,3
,75,... all of the gumballs.,all,0,,4,4.08145,3
,75,,other,0,,4,4.08145,3
,100,... most of the gumballs.,most,0,,5,4.08145,3
,100,... some of the gumballs.,some,0,,5,4.08145,3
,100,... all of the gumballs.,all,1,,5,4.08145,3
,100,,other,0,,5,4.08145,3
,75,... most of the gumballs.,most,0.71,,6,4.08145,3
,75,... some of the gumballs.,some,0.29,,6,4.08145,3
,75,... all of the gumballs.,all,0,,6,4.08145,3
,75,,other,0,,6,4.08145,3
,60,... most of the gumballs.,most,0.43,,7,4.08145,3
,60,... some of the gumballs.,some,0.57,,7,4.08145,3
,60,... all of the gumballs.,all,0,,7,4.08145,3
,60,,other,0,,7,4.08145,3
,25,... most of the gumballs.,most,0,,8,4.08145,3
,25,... some of the gumballs.,some,1,,8,4.08145,3
,25,... all of the gumballs.,all,0,,8,4.08145,3
,25,,other,0,,8,4.08145,3
,50,... most of the gumballs.,most,0.31000000000000016,,9,4.08145,3
,50,... some of the gumballs.,some,0.69,,9,4.08145,3
,50,... all of the gumballs.,all,0,,9,4.08145,3
,50,,other,0,,9,4.08145,3
,25,... most of the gumballs.,most,0.08,,10,4.08145,3
,25,... some of the gumballs.,some,0.9199999999999999,,10,4.08145,3
,25,... all of the gumballs.,all,0,,10,4.08145,3
,25,,other,0,,10,4.08145,3
,40,... most of the gumballs.,most,0.25,,11,4.08145,3
,40,... some of the gumballs.,some,0.75,,11,4.08145,3
,40,... all of the gumballs.,all,0,,11,4.08145,3
,40,,other,0,,11,4.08145,3
,60,... most of the gumballs.,most,0.55,,12,4.08145,3
,60,... some of the gumballs.,some,0.44999999999999984,,12,4.08145,3
,60,... all of the gumballs.,all,0,,12,4.08145,3
,60,,other,0,,12,4.08145,3
,10,... most of the gumballs.,most,0,,13,4.08145,3
,10,... some of the gumballs.,some,1,,13,4.08145,3
,10,... all of the gumballs.,all,0,,13,4.08145,3
,10,,other,0,,13,4.08145,3
,10,... most of the gumballs.,most,0,,14,4.08145,3
,10,... some of the gumballs.,some,1,,14,4.08145,3
,10,... all of the gumballs.,all,0,,14,4.08145,3
,10,,other,0,,14,4.08145,3
,90,... most of the gumballs.,most,1,,15,4.08145,3
,90,... some of the gumballs.,some,0,,15,4.08145,3
,90,... all of the gumballs.,all,0,,15,4.08145,3
,90,,other,0,,15,4.08145,3
,50,... most of the gumballs.,most,0.38,,16,4.08145,3
,50,... some of the gumballs.,some,0.6200000000000001,,16,4.08145,3
,50,... all of the gumballs.,all,0,,16,4.08145,3
,50,,other,0,,16,4.08145,3
,75,... all of the gumballs.,all,0,,1,9.266733333333333,4
,75,... most of the gumballs.,most,0.95,,1,9.266733333333333,4
,75,... some of the gumballs.,some,0.050000000000000044,,1,9.266733333333333,4
,75,,other,0,,1,9.266733333333333,4
,100,... all of the gumballs.,all,1,,2,9.266733333333333,4
,100,... most of the gumballs.,most,0,,2,9.266733333333333,4
,100,... some of the gumballs.,some,0,,2,9.266733333333333,4
,100,,other,0,,2,9.266733333333333,4
,50,... all of the gumballs.,all,0.02,,3,9.266733333333333,4
,50,... most of the gumballs.,most,0,,3,9.266733333333333,4
,50,... some of the gumballs.,some,0.98,,3,9.266733333333333,4
,50,,other,1.1102230246251565e-16,,3,9.266733333333333,4
,10,... all of the gumballs.,all,0.04,,4,9.266733333333333,4
,10,... most of the gumballs.,most,0.02,,4,9.266733333333333,4
,10,... some of the gumballs.,some,0.61,,4,9.266733333333333,4
,10,,other,0.33000000000000007,,4,9.266733333333333,4
,10,... all of the gumballs.,all,0,,5,9.266733333333333,4
,10,... most of the gumballs.,most,0,,5,9.266733333333333,4
,10,... some of the gumballs.,some,1,,5,9.266733333333333,4
,10,,other,0,,5,9.266733333333333,4
,40,... all of the gumballs.,all,0,,6,9.266733333333333,4
,40,... most of the gumballs.,most,0,,6,9.266733333333333,4
,40,... some of the gumballs.,some,1,,6,9.266733333333333,4
,40,,other,0,,6,9.266733333333333,4
,90,... all of the gumballs.,all,0.34,,7,9.266733333333333,4
,90,... most of the gumballs.,most,0,,7,9.266733333333333,4
,90,... some of the gumballs.,some,0,,7,9.266733333333333,4
,90,,other,0.6599999999999999,,7,9.266733333333333,4
,90,... all of the gumballs.,all,0.7,,8,9.266733333333333,4
,90,... most of the gumballs.,most,0,,8,9.266733333333333,4
,90,... some of the gumballs.,some,0,,8,9.266733333333333,4
,90,,other,0.29999999999999993,,8,9.266733333333333,4
,75,... all of the gumballs.,all,0,,9,9.266733333333333,4
,75,... most of the gumballs.,most,1,,9,9.266733333333333,4
,75,... some of the gumballs.,some,0,,9,9.266733333333333,4
,75,,other,0,,9,9.266733333333333,4
,60,... all of the gumballs.,all,0,,10,9.266733333333333,4
,60,... most of the gumballs.,most,0,,10,9.266733333333333,4
,60,... some of the gumballs.,some,1,,10,9.266733333333333,4
,60,,other,0,,10,9.266733333333333,4
,100,... all of the gumballs.,all,1,,11,9.266733333333333,4
,100,... most of the gumballs.,most,0,,11,9.266733333333333,4
,100,... some of the gumballs.,some,0,,11,9.266733333333333,4
,100,,other,0,,11,9.266733333333333,4
,50,... all of the gumballs.,all,0,,12,9.266733333333333,4
,50,... most of the gumballs.,most,0,,12,9.266733333333333,4
,50,... some of the gumballs.,some,1,,12,9.266733333333333,4
,50,,other,0,,12,9.266733333333333,4
,60,... all of the gumballs.,all,0,,13,9.266733333333333,4
,60,... most of the gumballs.,most,0,,13,9.266733333333333,4
,60,... some of the gumballs.,some,1,,13,9.266733333333333,4
,60,,other,0,,13,9.266733333333333,4
,25,... all of the gumballs.,all,0,,14,9.266733333333333,4
,25,... most of the gumballs.,most,0,,14,9.266733333333333,4
,25,... some of the gumballs.,some,1,,14,9.266733333333333,4
,25,,other,0,,14,9.266733333333333,4
,25,... all of the gumballs.,all,0,,15,9.266733333333333,4
,25,... most of the gumballs.,most,0,,15,9.266733333333333,4
,25,... some of the gumballs.,some,1,,15,9.266733333333333,4
,25,,other,0,,15,9.266733333333333,4
,40,... all of the gumballs.,all,0,,16,9.266733333333333,4
,40,... most of the gumballs.,most,0,,16,9.266733333333333,4
,40,... some of the gumballs.,some,1,,16,9.266733333333333,4
,40,,other,0,,16,9.266733333333333,4
,100,... some of the gumballs.,some,0,,1,8.78965,5
,100,... all of the gumballs.,all,1,,1,8.78965,5
,100,... most of the gumballs.,most,0,,1,8.78965,5
,100,,other,0,,1,8.78965,5
,90,... some of the gumballs.,some,0.2,,2,8.78965,5
,90,... all of the gumballs.,all,0,,2,8.78965,5
,90,... most of the gumballs.,most,0.7999999999999999,,2,8.78965,5
,90,,other,0,,2,8.78965,5
,75,... some of the gumballs.,some,0.2,,3,8.78965,5
,75,... all of the gumballs.,all,0,,3,8.78965,5
,75,... most of the gumballs.,most,0.7999999999999999,,3,8.78965,5
,75,,other,0,,3,8.78965,5
,25,... some of the gumballs.,some,1,,4,8.78965,5
,25,... all of the gumballs.,all,0,,4,8.78965,5
,25,... most of the gumballs.,most,0,,4,8.78965,5
,25,,other,0,,4,8.78965,5
,10,... some of the gumballs.,some,0.5900000000000001,,5,8.78965,5
,10,... all of the gumballs.,all,0,,5,8.78965,5
,10,... most of the gumballs.,most,0,,5,8.78965,5
,10,,other,0.41,,5,8.78965,5
,60,... some of the gumballs.,some,0.49,,6,8.78965,5
,60,... all of the gumballs.,all,0,,6,8.78965,5
,60,... most of the gumballs.,most,0.3999999999999999,,6,8.78965,5
,60,,other,0.1100000000000001,,6,8.78965,5
,10,... some of the gumballs.,some,0.6,,7,8.78965,5
,10,... all of the gumballs.,all,0,,7,8.78965,5
,10,... most of the gumballs.,most,0,,7,8.78965,5
,10,,other,0.3999999999999999,,7,8.78965,5
,50,... some of the gumballs.,some,1,,8,8.78965,5
,50,... all of the gumballs.,all,0,,8,8.78965,5
,50,... most of the gumballs.,most,0,,8,8.78965,5
,50,,other,0,,8,8.78965,5
,75,... some of the gumballs.,some,0.02,,9,8.78965,5
,75,... all of the gumballs.,all,0,,9,8.78965,5
,75,... most of the gumballs.,most,0.98,,9,8.78965,5
,75,,other,0,,9,8.78965,5
,40,... some of the gumballs.,some,1,,10,8.78965,5
,40,... all of the gumballs.,all,0,,10,8.78965,5
,40,... most of the gumballs.,most,0,,10,8.78965,5
,40,,other,0,,10,8.78965,5
,50,... some of the gumballs.,some,0.85,,11,8.78965,5
,50,... all of the gumballs.,all,0,,11,8.78965,5
,50,... most of the gumballs.,most,0,,11,8.78965,5
,50,,other,0.1499999999999999,,11,8.78965,5
,40,... some of the gumballs.,some,1,,12,8.78965,5
,40,... all of the gumballs.,all,0,,12,8.78965,5
,40,... most of the gumballs.,most,0,,12,8.78965,5
,40,,other,0,,12,8.78965,5
,60,... some of the gumballs.,some,0.2,,13,8.78965,5
,60,... all of the gumballs.,all,0,,13,8.78965,5
,60,... most of the gumballs.,most,0.7999999999999999,,13,8.78965,5
,60,,other,0,,13,8.78965,5
,25,... some of the gumballs.,some,1,,14,8.78965,5
,25,... all of the gumballs.,all,0,,14,8.78965,5
,25,... most of the gumballs.,most,0,,14,8.78965,5
,25,,other,0,,14,8.78965,5
,90,... some of the gumballs.,some,0,,15,8.78965,5
,90,... all of the gumballs.,all,0,,15,8.78965,5
,90,... most of the gumballs.,most,1,,15,8.78965,5
,90,,other,0,,15,8.78965,5
,100,... some of the gumballs.,some,0,,16,8.78965,5
,100,... all of the gumballs.,all,1,,16,8.78965,5
,100,... most of the gumballs.,most,0,,16,8.78965,5
,100,,other,0,,16,8.78965,5
,50,... all of the gumballs.,all,0.3,,1,4.5203,6
,50,... some of the gumballs.,some,0.4,,1,4.5203,6
,50,... most of the gumballs.,most,0.30000000000000004,,1,4.5203,6
,50,,other,0,,1,4.5203,6
,100,... all of the gumballs.,all,0.79,,2,4.5203,6
,100,... some of the gumballs.,some,0.10999999999999999,,2,4.5203,6
,100,... most of the gumballs.,most,0.1,,2,4.5203,6
,100,,other,0,,2,4.5203,6
,25,... all of the gumballs.,all,0,,3,4.5203,6
,25,... some of the gumballs.,some,0.91,,3,4.5203,6
,25,... most of the gumballs.,most,0.08999999999999997,,3,4.5203,6
,25,,other,0,,3,4.5203,6
,90,... all of the gumballs.,all,0,,4,4.5203,6
,90,... some of the gumballs.,some,0,,4,4.5203,6
,90,... most of the gumballs.,most,1,,4,4.5203,6
,90,,other,0,,4,4.5203,6
,60,... all of the gumballs.,all,0.16,,5,4.5203,6
,60,... some of the gumballs.,some,0.11,,5,4.5203,6
,60,... most of the gumballs.,most,0.73,,5,4.5203,6
,60,,other,0,,5,4.5203,6
,75,... all of the gumballs.,all,0.3,,6,4.5203,6
,75,... some of the gumballs.,some,0.6,,6,4.5203,6
,75,... most of the gumballs.,most,0.10000000000000009,,6,4.5203,6
,75,,other,0,,6,4.5203,6
,50,... all of the gumballs.,all,0.19,,7,4.5203,6
,50,... some of the gumballs.,some,0.37,,7,4.5203,6
,50,... most of the gumballs.,most,0.43999999999999995,,7,4.5203,6
,50,,other,0,,7,4.5203,6
,40,... all of the gumballs.,all,0.21,,8,4.5203,6
,40,... some of the gumballs.,some,0.55,,8,4.5203,6
,40,... most of the gumballs.,most,0.2400000000000001,,8,4.5203,6
,40,,other,0,,8,4.5203,6
,10,... all of the gumballs.,all,0,,9,4.5203,6
,10,... some of the gumballs.,some,1,,9,4.5203,6
,10,... most of the gumballs.,most,0,,9,4.5203,6
,10,,other,0,,9,4.5203,6
,100,... all of the gumballs.,all,1,,10,4.5203,6
,100,... some of the gumballs.,some,0,,10,4.5203,6
,100,... most of the gumballs.,most,0,,10,4.5203,6
,100,,other,0,,10,4.5203,6
,60,... all of the gumballs.,all,0.12,,11,4.5203,6
,60,... some of the gumballs.,some,0.29,,11,4.5203,6
,60,... most of the gumballs.,most,0.5900000000000001,,11,4.5203,6
,60,,other,0,,11,4.5203,6
,10,... all of the gumballs.,all,0,,12,4.5203,6
,10,... some of the gumballs.,some,1,,12,4.5203,6
,10,... most of the gumballs.,most,0,,12,4.5203,6
,10,,other,0,,12,4.5203,6
,90,... all of the gumballs.,all,0.35,,13,4.5203,6
,90,... some of the gumballs.,some,0.01,,13,4.5203,6
,90,... most of the gumballs.,most,0.6400000000000001,,13,4.5203,6
,90,,other,0,,13,4.5203,6
,75,... all of the gumballs.,all,0.06,,14,4.5203,6
,75,... some of the gumballs.,some,0,,14,4.5203,6
,75,... most of the gumballs.,most,0.94,,14,4.5203,6
,75,,other,0,,14,4.5203,6
,40,... all of the gumballs.,all,0.21,,15,4.5203,6
,40,... some of the gumballs.,some,0.56,,15,4.5203,6
,40,... most of the gumballs.,most,0.22999999999999998,,15,4.5203,6
,40,,other,0,,15,4.5203,6
,25,... all of the gumballs.,all,0.12,,16,4.5203,6
,25,... some of the gumballs.,some,0.64,,16,4.5203,6
,25,... most of the gumballs.,most,0.24,,16,4.5203,6
,25,,other,0,,16,4.5203,6
,75,... most of the gumballs.,most,1,,1,3.978683333333333,7
,75,... all of the gumballs.,all,0,,1,3.978683333333333,7
,75,... some of the gumballs.,some,0,,1,3.978683333333333,7
,75,,other,0,,1,3.978683333333333,7
,25,... most of the gumballs.,most,0,,2,3.978683333333333,7
,25,... all of the gumballs.,all,0,,2,3.978683333333333,7
,25,... some of the gumballs.,some,1,,2,3.978683333333333,7
,25,,other,0,,2,3.978683333333333,7
,40,... most of the gumballs.,most,0,,3,3.978683333333333,7
,40,... all of the gumballs.,all,0,,3,3.978683333333333,7
,40,... some of the gumballs.,some,1,,3,3.978683333333333,7
,40,,other,0,,3,3.978683333333333,7
,100,... most of the gumballs.,most,0,,4,3.978683333333333,7
,100,... all of the gumballs.,all,1,,4,3.978683333333333,7
,100,... some of the gumballs.,some,0,,4,3.978683333333333,7
,100,,other,0,,4,3.978683333333333,7
,10,... most of the gumballs.,most,0,,5,3.978683333333333,7
,10,... all of the gumballs.,all,0,,5,3.978683333333333,7
,10,... some of the gumballs.,some,0.49,,5,3.978683333333333,7
,10,,other,0.51,,5,3.978683333333333,7
,60,... most of the gumballs.,most,1,,6,3.978683333333333,7
,60,... all of the gumballs.,all,0,,6,3.978683333333333,7
,60,... some of the gumballs.,some,0,,6,3.978683333333333,7
,60,,other,0,,6,3.978683333333333,7
,50,... most of the gumballs.,most,1,,7,3.978683333333333,7
,50,... all of the gumballs.,all,0,,7,3.978683333333333,7
,50,... some of the gumballs.,some,0,,7,3.978683333333333,7
,50,,other,0,,7,3.978683333333333,7
,10,... most of the gumballs.,most,0,,8,3.978683333333333,7
,10,... all of the gumballs.,all,0,,8,3.978683333333333,7
,10,... some of the gumballs.,some,1,,8,3.978683333333333,7
,10,,other,0,,8,3.978683333333333,7
,100,... most of the gumballs.,most,0,,9,3.978683333333333,7
,100,... all of the gumballs.,all,1,,9,3.978683333333333,7
,100,... some of the gumballs.,some,0,,9,3.978683333333333,7
,100,,other,0,,9,3.978683333333333,7
,90,... most of the gumballs.,most,1,,10,3.978683333333333,7
,90,... all of the gumballs.,all,0,,10,3.978683333333333,7
,90,... some of the gumballs.,some,0,,10,3.978683333333333,7
,90,,other,0,,10,3.978683333333333,7
,90,... most of the gumballs.,most,1,,11,3.978683333333333,7
,90,... all of the gumballs.,all,0,,11,3.978683333333333,7
,90,... some of the gumballs.,some,0,,11,3.978683333333333,7
,90,,other,0,,11,3.978683333333333,7
,75,... most of the gumballs.,most,1,,12,3.978683333333333,7
,75,... all of the gumballs.,all,0,,12,3.978683333333333,7
,75,... some of the gumballs.,some,0,,12,3.978683333333333,7
,75,,other,0,,12,3.978683333333333,7
,40,... most of the gumballs.,most,0,,13,3.978683333333333,7
,40,... all of the gumballs.,all,0,,13,3.978683333333333,7
,40,... some of the gumballs.,some,1,,13,3.978683333333333,7
,40,,other,0,,13,3.978683333333333,7
,60,... most of the gumballs.,most,1,,14,3.978683333333333,7
,60,... all of the gumballs.,all,0,,14,3.978683333333333,7
,60,... some of the gumballs.,some,0,,14,3.978683333333333,7
,60,,other,0,,14,3.978683333333333,7
,25,... most of the gumballs.,most,0,,15,3.978683333333333,7
,25,... all of the gumballs.,all,0,,15,3.978683333333333,7
,25,... some of the gumballs.,some,1,,15,3.978683333333333,7
,25,,other,0,,15,3.978683333333333,7
