color,Answer.time_in_minutes,label,quantifier,block_trial,type,Answer.bonus,utterance,position,block,Answer.condition,init_images,utterance_label,trial,percentage,workerid,clicked
orange,8.434883333333334,target,many,1,75_100_1,200.5, The machine dispensed many of the orange ones.,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,5,75,0,1
blue,8.434883333333334,competitor,many,1,75_100_1,200.5, The machine dispensed many of the orange ones.,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,5,100,0,0
blue,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,6,50,0,0
orange,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,6,25,0,1
blue,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed some of the,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,6,50,0,0
orange,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed some of the,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,6,25,0,1
blue,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed some of the blue ones.,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,6,50,0,1
orange,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed some of the blue ones.,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,6,25,0,0
blue,8.434883333333334,competitor,all,3,75_100_2,200.5, The machine dispensed,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,7,75,0,0
orange,8.434883333333334,target,all,3,75_100_2,200.5, The machine dispensed,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,7,100,0,1
blue,8.434883333333334,competitor,all,3,75_100_2,200.5, The machine dispensed all of the,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,7,75,0,0
orange,8.434883333333334,target,all,3,75_100_2,200.5, The machine dispensed all of the,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,7,100,0,1
blue,8.434883333333334,competitor,all,3,75_100_2,200.5, The machine dispensed all of the orange ones.,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,7,75,0,0
orange,8.434883333333334,target,all,3,75_100_2,200.5, The machine dispensed all of the orange ones.,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,7,100,0,1
blue,8.434883333333334,target,many,4,50_90_2,200.5, The machine dispensed,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,8,90,0,1
orange,8.434883333333334,competitor,many,4,50_90_2,200.5, The machine dispensed,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,8,50,0,0
blue,8.434883333333334,target,many,4,50_90_2,200.5, The machine dispensed many of the,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,8,90,0,1
orange,8.434883333333334,competitor,many,4,50_90_2,200.5, The machine dispensed many of the,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,8,50,0,0
blue,8.434883333333334,target,many,4,50_90_2,200.5, The machine dispensed many of the blue ones.,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,8,90,0,1
orange,8.434883333333334,competitor,many,4,50_90_2,200.5, The machine dispensed many of the blue ones.,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,8,50,0,0
blue,8.434883333333334,competitor,none,5,90_0_2,200.5, The machine dispensed,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,9,90,0,1
orange,8.434883333333334,target,none,5,90_0_2,200.5, The machine dispensed,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,9,0,0,0
blue,8.434883333333334,competitor,none,5,90_0_2,200.5, The machine dispensed none of the,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,9,90,0,0
orange,8.434883333333334,target,none,5,90_0_2,200.5, The machine dispensed none of the,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,9,0,0,1
blue,8.434883333333334,competitor,none,5,90_0_2,200.5, The machine dispensed none of the orange ones.,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,9,90,0,0
orange,8.434883333333334,target,none,5,90_0_2,200.5, The machine dispensed none of the orange ones.,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,9,0,0,1
orange,8.434883333333334,competitor,some,6,50_90_1,200.5, The machine dispensed,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,10,90,0,1
blue,8.434883333333334,target,some,6,50_90_1,200.5, The machine dispensed,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,10,50,0,0
orange,8.434883333333334,competitor,some,6,50_90_1,200.5, The machine dispensed some of the,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,10,90,0,1
blue,8.434883333333334,target,some,6,50_90_1,200.5, The machine dispensed some of the,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,10,50,0,0
orange,8.434883333333334,competitor,some,6,50_90_1,200.5, The machine dispensed some of the blue ones.,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,10,90,0,0
blue,8.434883333333334,target,some,6,50_90_1,200.5, The machine dispensed some of the blue ones.,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,10,50,0,1
blue,8.434883333333334,competitor,some,7,25_50_1,200.5, The machine dispensed,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,11,50,0,0
orange,8.434883333333334,target,some,7,25_50_1,200.5, The machine dispensed,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,11,25,0,1
blue,8.434883333333334,competitor,some,7,25_50_1,200.5, The machine dispensed some of the,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,11,50,0,0
orange,8.434883333333334,target,some,7,25_50_1,200.5, The machine dispensed some of the,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,11,25,0,1
blue,8.434883333333334,competitor,some,7,25_50_1,200.5, The machine dispensed some of the orange ones.,1,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,11,50,0,0
orange,8.434883333333334,target,some,7,25_50_1,200.5, The machine dispensed some of the orange ones.,2,1,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,11,25,0,1
orange,8.434883333333334,competitor,many,8,90_0_1,200.5, The machine dispensed,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,12,0,0,1
blue,8.434883333333334,target,many,8,90_0_1,200.5, The machine dispensed,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,12,90,0,0
orange,8.434883333333334,competitor,many,8,90_0_1,200.5, The machine dispensed many of the,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,12,0,0,0
blue,8.434883333333334,target,many,8,90_0_1,200.5, The machine dispensed many of the,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,12,90,0,1
orange,8.434883333333334,competitor,many,8,90_0_1,200.5, The machine dispensed many of the blue ones.,1,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,12,0,0,0
blue,8.434883333333334,target,many,8,90_0_1,200.5, The machine dispensed many of the blue ones.,2,1,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,12,90,0,1
orange,8.434883333333334,competitor,many,1,50_90_2,200.5, The machine dispensed,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,13,50,0,0
blue,8.434883333333334,target,many,1,50_90_2,200.5, The machine dispensed,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,13,90,0,1
orange,8.434883333333334,competitor,many,1,50_90_2,200.5, The machine dispensed many of the,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,13,50,0,0
blue,8.434883333333334,target,many,1,50_90_2,200.5, The machine dispensed many of the,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,13,90,0,1
orange,8.434883333333334,competitor,many,1,50_90_2,200.5, The machine dispensed many of the blue ones.,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,13,50,0,0
blue,8.434883333333334,target,many,1,50_90_2,200.5, The machine dispensed many of the blue ones.,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,13,90,0,1
blue,8.434883333333334,target,none,2,90_0_2,200.5, The machine dispensed,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,14,0,0,1
orange,8.434883333333334,competitor,none,2,90_0_2,200.5, The machine dispensed,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,14,90,0,0
blue,8.434883333333334,target,none,2,90_0_2,200.5, The machine dispensed none of the,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,14,0,0,1
orange,8.434883333333334,competitor,none,2,90_0_2,200.5, The machine dispensed none of the,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,14,90,0,0
blue,8.434883333333334,target,none,2,90_0_2,200.5, The machine dispensed none of the blue ones.,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,14,0,0,1
orange,8.434883333333334,competitor,none,2,90_0_2,200.5, The machine dispensed none of the blue ones.,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,14,90,0,0
blue,8.434883333333334,target,some,3,25_50_2,200.5, The machine dispensed,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,15,50,0,0
orange,8.434883333333334,competitor,some,3,25_50_2,200.5, The machine dispensed,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,15,25,0,1
blue,8.434883333333334,target,some,3,25_50_2,200.5, The machine dispensed some of the,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,15,50,0,0
orange,8.434883333333334,competitor,some,3,25_50_2,200.5, The machine dispensed some of the,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,15,25,0,1
blue,8.434883333333334,target,some,3,25_50_2,200.5, The machine dispensed some of the blue ones.,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,15,50,0,0
orange,8.434883333333334,competitor,some,3,25_50_2,200.5, The machine dispensed some of the blue ones.,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,15,25,0,1
orange,8.434883333333334,target,all,4,75_100_2,200.5, The machine dispensed,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,16,100,0,1
blue,8.434883333333334,competitor,all,4,75_100_2,200.5, The machine dispensed,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,16,75,0,0
orange,8.434883333333334,target,all,4,75_100_2,200.5, The machine dispensed all of the,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,16,100,0,1
blue,8.434883333333334,competitor,all,4,75_100_2,200.5, The machine dispensed all of the,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,16,75,0,0
orange,8.434883333333334,target,all,4,75_100_2,200.5, The machine dispensed all of the orange ones.,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,16,100,0,1
blue,8.434883333333334,competitor,all,4,75_100_2,200.5, The machine dispensed all of the orange ones.,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,16,75,0,0
blue,8.434883333333334,competitor,many,5,90_0_1,200.5, The machine dispensed,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,17,0,0,1
orange,8.434883333333334,target,many,5,90_0_1,200.5, The machine dispensed,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,17,90,0,0
blue,8.434883333333334,competitor,many,5,90_0_1,200.5, The machine dispensed many of the,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,17,0,0,0
orange,8.434883333333334,target,many,5,90_0_1,200.5, The machine dispensed many of the,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,17,90,0,1
blue,8.434883333333334,competitor,many,5,90_0_1,200.5, The machine dispensed many of the orange ones.,1,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,17,0,0,0
orange,8.434883333333334,target,many,5,90_0_1,200.5, The machine dispensed many of the orange ones.,2,2,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,17,90,0,1
orange,8.434883333333334,target,some,6,25_50_1,200.5, The machine dispensed,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,18,25,0,1
blue,8.434883333333334,competitor,some,6,25_50_1,200.5, The machine dispensed,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,18,50,0,0
orange,8.434883333333334,target,some,6,25_50_1,200.5, The machine dispensed some of the,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,18,25,0,1
blue,8.434883333333334,competitor,some,6,25_50_1,200.5, The machine dispensed some of the,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,18,50,0,0
orange,8.434883333333334,target,some,6,25_50_1,200.5, The machine dispensed some of the orange ones.,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,18,25,0,1
blue,8.434883333333334,competitor,some,6,25_50_1,200.5, The machine dispensed some of the orange ones.,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,18,50,0,0
orange,8.434883333333334,competitor,many,7,75_100_1,200.5, The machine dispensed,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,19,100,0,1
blue,8.434883333333334,target,many,7,75_100_1,200.5, The machine dispensed,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,19,75,0,0
orange,8.434883333333334,competitor,many,7,75_100_1,200.5, The machine dispensed many of the,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,19,100,0,0
blue,8.434883333333334,target,many,7,75_100_1,200.5, The machine dispensed many of the,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,19,75,0,1
orange,8.434883333333334,competitor,many,7,75_100_1,200.5, The machine dispensed many of the blue ones.,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,19,100,0,0
blue,8.434883333333334,target,many,7,75_100_1,200.5, The machine dispensed many of the blue ones.,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,19,75,0,1
orange,8.434883333333334,target,some,8,50_90_1,200.5, The machine dispensed,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,20,50,0,1
blue,8.434883333333334,competitor,some,8,50_90_1,200.5, The machine dispensed,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,20,90,0,0
orange,8.434883333333334,target,some,8,50_90_1,200.5, The machine dispensed some of the,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,20,50,0,1
blue,8.434883333333334,competitor,some,8,50_90_1,200.5, The machine dispensed some of the,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,20,90,0,0
orange,8.434883333333334,target,some,8,50_90_1,200.5, The machine dispensed some of the orange ones.,1,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,20,50,0,1
blue,8.434883333333334,competitor,some,8,50_90_1,200.5, The machine dispensed some of the orange ones.,2,2,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,20,90,0,0
blue,8.434883333333334,target,some,1,25_50_1,200.5, The machine dispensed,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,21,25,0,1
orange,8.434883333333334,competitor,some,1,25_50_1,200.5, The machine dispensed,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,21,50,0,0
blue,8.434883333333334,target,some,1,25_50_1,200.5, The machine dispensed some of the,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,21,25,0,1
orange,8.434883333333334,competitor,some,1,25_50_1,200.5, The machine dispensed some of the,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,21,50,0,0
blue,8.434883333333334,target,some,1,25_50_1,200.5, The machine dispensed some of the blue ones.,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,21,25,0,1
orange,8.434883333333334,competitor,some,1,25_50_1,200.5, The machine dispensed some of the blue ones.,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,21,50,0,0
orange,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,22,50,0,1
blue,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,22,25,0,0
orange,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed some of the,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,22,50,0,1
blue,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed some of the,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,22,25,0,0
orange,8.434883333333334,target,some,2,25_50_2,200.5, The machine dispensed some of the orange ones.,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,22,50,0,1
blue,8.434883333333334,competitor,some,2,25_50_2,200.5, The machine dispensed some of the orange ones.,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,22,25,0,0
orange,8.434883333333334,competitor,some,3,50_90_1,200.5, The machine dispensed,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,23,90,0,1
blue,8.434883333333334,target,some,3,50_90_1,200.5, The machine dispensed,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,23,50,0,0
orange,8.434883333333334,competitor,some,3,50_90_1,200.5, The machine dispensed some of the,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,23,90,0,1
blue,8.434883333333334,target,some,3,50_90_1,200.5, The machine dispensed some of the,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,23,50,0,0
orange,8.434883333333334,competitor,some,3,50_90_1,200.5, The machine dispensed some of the blue ones.,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,23,90,0,0
blue,8.434883333333334,target,some,3,50_90_1,200.5, The machine dispensed some of the blue ones.,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,23,50,0,1
orange,8.434883333333334,competitor,many,4,90_0_1,200.5, The machine dispensed,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,24,0,0,1
blue,8.434883333333334,target,many,4,90_0_1,200.5, The machine dispensed,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,24,90,0,0
orange,8.434883333333334,competitor,many,4,90_0_1,200.5, The machine dispensed many of the,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,24,0,0,0
blue,8.434883333333334,target,many,4,90_0_1,200.5, The machine dispensed many of the,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,24,90,0,1
orange,8.434883333333334,competitor,many,4,90_0_1,200.5, The machine dispensed many of the blue ones.,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,24,0,0,0
blue,8.434883333333334,target,many,4,90_0_1,200.5, The machine dispensed many of the blue ones.,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,24,90,0,1
orange,8.434883333333334,target,all,5,75_100_2,200.5, The machine dispensed,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,25,100,0,1
blue,8.434883333333334,competitor,all,5,75_100_2,200.5, The machine dispensed,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,25,75,0,0
orange,8.434883333333334,target,all,5,75_100_2,200.5, The machine dispensed all of the,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,25,100,0,1
blue,8.434883333333334,competitor,all,5,75_100_2,200.5, The machine dispensed all of the,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,25,75,0,0
orange,8.434883333333334,target,all,5,75_100_2,200.5, The machine dispensed all of the orange ones.,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,25,100,0,1
blue,8.434883333333334,competitor,all,5,75_100_2,200.5, The machine dispensed all of the orange ones.,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,25,75,0,0
blue,8.434883333333334,target,many,6,75_100_1,200.5, The machine dispensed,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,26,75,0,0
orange,8.434883333333334,competitor,many,6,75_100_1,200.5, The machine dispensed,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",prior,26,100,0,1
blue,8.434883333333334,target,many,6,75_100_1,200.5, The machine dispensed many of the,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,26,75,0,1
orange,8.434883333333334,competitor,many,6,75_100_1,200.5, The machine dispensed many of the,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",quantifier,26,100,0,0
blue,8.434883333333334,target,many,6,75_100_1,200.5, The machine dispensed many of the blue ones.,1,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,26,75,0,1
orange,8.434883333333334,competitor,many,6,75_100_1,200.5, The machine dispensed many of the blue ones.,2,3,many_some,"['gumball_blue_0.png', 'gumball_orange_0.png']",color,26,100,0,0
orange,8.434883333333334,target,many,7,50_90_2,200.5, The machine dispensed,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,27,90,0,1
blue,8.434883333333334,competitor,many,7,50_90_2,200.5, The machine dispensed,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",prior,27,50,0,0
orange,8.434883333333334,target,many,7,50_90_2,200.5, The machine dispensed many of the,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,27,90,0,0
blue,8.434883333333334,competitor,many,7,50_90_2,200.5, The machine dispensed many of the,2,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",quantifier,27,50,0,1
orange,8.434883333333334,target,many,7,50_90_2,200.5, The machine dispensed many of the orange ones.,1,3,many_some,"['gumball_orange_0.png', 'gumball_blue_0.png']",color,27,90,0,1
