clicked,color,utterance_label,type,quantifier,Answer.time_in_minutes,Answer.bonus,Answer.condition,block,percentage,workerid,label,block_trial,position,trial,utterance,init_images
1,orange,prior,40_0_1,some,9.35665,204,most,1,0,0,competitor,4,1,8, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,40_0_1,some,9.35665,204,most,1,40,0,target,4,2,8, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,40_0_1,some,9.35665,204,most,1,0,0,competitor,4,1,8, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,40_0_1,some,9.35665,204,most,1,40,0,target,4,2,8, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,40_0_1,some,9.35665,204,most,1,0,0,competitor,4,1,8, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,40_0_1,some,9.35665,204,most,1,40,0,target,4,2,8, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,prior,25_100_2,all,9.35665,204,most,1,100,0,target,5,1,9, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_100_2,all,9.35665,204,most,1,25,0,competitor,5,2,9, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,25_100_2,all,9.35665,204,most,1,100,0,target,5,1,9, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,25_100_2,all,9.35665,204,most,1,25,0,competitor,5,2,9, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,color,25_100_2,all,9.35665,204,most,1,100,0,target,5,1,9, The machine dispensed all of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,color,25_100_2,all,9.35665,204,most,1,25,0,competitor,5,2,9, The machine dispensed all of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,prior,60_90_1,most,9.35665,204,most,1,90,0,competitor,6,1,10, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,60_90_1,most,9.35665,204,most,1,60,0,target,6,2,10, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,60_90_1,most,9.35665,204,most,1,90,0,competitor,6,1,10, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,60_90_1,most,9.35665,204,most,1,60,0,target,6,2,10, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,60_90_1,most,9.35665,204,most,1,90,0,competitor,6,1,10, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,60_90_1,most,9.35665,204,most,1,60,0,target,6,2,10, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_100_1,some,9.35665,204,most,1,25,0,target,7,1,11, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_100_1,some,9.35665,204,most,1,100,0,competitor,7,2,11, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,25_100_1,some,9.35665,204,most,1,25,0,target,7,1,11, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,25_100_1,some,9.35665,204,most,1,100,0,competitor,7,2,11, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,25_100_1,some,9.35665,204,most,1,25,0,target,7,1,11, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,25_100_1,some,9.35665,204,most,1,100,0,competitor,7,2,11, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,prior,40_0_2,none,9.35665,204,most,1,0,0,target,8,1,12, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,40_0_2,none,9.35665,204,most,1,40,0,competitor,8,2,12, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,40_0_2,none,9.35665,204,most,1,0,0,target,8,1,12, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,40_0_2,none,9.35665,204,most,1,40,0,competitor,8,2,12, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,40_0_2,none,9.35665,204,most,1,0,0,target,8,1,12, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,40_0_2,none,9.35665,204,most,1,40,0,competitor,8,2,12, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,prior,40_0_1,some,9.35665,204,most,2,40,0,target,1,1,13, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,40_0_1,some,9.35665,204,most,2,0,0,competitor,1,2,13, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,40_0_1,some,9.35665,204,most,2,40,0,target,1,1,13, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,40_0_1,some,9.35665,204,most,2,0,0,competitor,1,2,13, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,40_0_1,some,9.35665,204,most,2,40,0,target,1,1,13, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,40_0_1,some,9.35665,204,most,2,0,0,competitor,1,2,13, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,prior,25_60_1,some,9.35665,204,most,2,25,0,target,2,1,14, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,25_60_1,some,9.35665,204,most,2,60,0,competitor,2,2,14, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,25_60_1,some,9.35665,204,most,2,25,0,target,2,1,14, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,25_60_1,some,9.35665,204,most,2,60,0,competitor,2,2,14, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,25_60_1,some,9.35665,204,most,2,25,0,target,2,1,14, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,25_60_1,some,9.35665,204,most,2,60,0,competitor,2,2,14, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,25_100_1,some,9.35665,204,most,2,25,0,target,3,1,15, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,25_100_1,some,9.35665,204,most,2,100,0,competitor,3,2,15, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,25_100_1,some,9.35665,204,most,2,25,0,target,3,1,15, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,25_100_1,some,9.35665,204,most,2,100,0,competitor,3,2,15, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,color,25_100_1,some,9.35665,204,most,2,25,0,target,3,1,15, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,color,25_100_1,some,9.35665,204,most,2,100,0,competitor,3,2,15, The machine dispensed some of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,40_0_2,none,9.35665,204,most,2,0,0,target,4,1,16, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,40_0_2,none,9.35665,204,most,2,40,0,competitor,4,2,16, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,40_0_2,none,9.35665,204,most,2,0,0,target,4,1,16, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,40_0_2,none,9.35665,204,most,2,40,0,competitor,4,2,16, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,40_0_2,none,9.35665,204,most,2,0,0,target,4,1,16, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,40_0_2,none,9.35665,204,most,2,40,0,competitor,4,2,16, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,60_90_2,most,9.35665,204,most,2,60,0,competitor,5,1,17, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,60_90_2,most,9.35665,204,most,2,90,0,target,5,2,17, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,60_90_2,most,9.35665,204,most,2,60,0,competitor,5,1,17, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,60_90_2,most,9.35665,204,most,2,90,0,target,5,2,17, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,60_90_2,most,9.35665,204,most,2,60,0,competitor,5,1,17, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,60_90_2,most,9.35665,204,most,2,90,0,target,5,2,17, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_60_2,most,9.35665,204,most,2,60,0,target,6,1,18, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_60_2,most,9.35665,204,most,2,25,0,competitor,6,2,18, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,25_60_2,most,9.35665,204,most,2,60,0,target,6,1,18, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,25_60_2,most,9.35665,204,most,2,25,0,competitor,6,2,18, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,25_60_2,most,9.35665,204,most,2,60,0,target,6,1,18, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,25_60_2,most,9.35665,204,most,2,25,0,competitor,6,2,18, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,prior,60_90_1,most,9.35665,204,most,2,60,0,target,7,1,19, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,60_90_1,most,9.35665,204,most,2,90,0,competitor,7,2,19, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,quantifier,60_90_1,most,9.35665,204,most,2,60,0,target,7,1,19, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,quantifier,60_90_1,most,9.35665,204,most,2,90,0,competitor,7,2,19, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,60_90_1,most,9.35665,204,most,2,60,0,target,7,1,19, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,60_90_1,most,9.35665,204,most,2,90,0,competitor,7,2,19, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_100_2,all,9.35665,204,most,2,100,0,target,8,1,20, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_100_2,all,9.35665,204,most,2,25,0,competitor,8,2,20, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,quantifier,25_100_2,all,9.35665,204,most,2,100,0,target,8,1,20, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,quantifier,25_100_2,all,9.35665,204,most,2,25,0,competitor,8,2,20, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,color,25_100_2,all,9.35665,204,most,2,100,0,target,8,1,20, The machine dispensed all of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,color,25_100_2,all,9.35665,204,most,2,25,0,competitor,8,2,20, The machine dispensed all of the orange ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,prior,25_100_2,all,9.35665,204,most,3,25,0,competitor,1,1,21, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,25_100_2,all,9.35665,204,most,3,100,0,target,1,2,21, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,25_100_2,all,9.35665,204,most,3,25,0,competitor,1,1,21, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,25_100_2,all,9.35665,204,most,3,100,0,target,1,2,21, The machine dispensed all of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,25_100_2,all,9.35665,204,most,3,25,0,competitor,1,1,21, The machine dispensed all of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,25_100_2,all,9.35665,204,most,3,100,0,target,1,2,21, The machine dispensed all of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,60_90_1,most,9.35665,204,most,3,60,0,target,2,1,22, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,60_90_1,most,9.35665,204,most,3,90,0,competitor,2,2,22, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,blue,quantifier,60_90_1,most,9.35665,204,most,3,60,0,target,2,1,22, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,quantifier,60_90_1,most,9.35665,204,most,3,90,0,competitor,2,2,22, The machine dispensed most of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,60_90_1,most,9.35665,204,most,3,60,0,target,2,1,22, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,60_90_1,most,9.35665,204,most,3,90,0,competitor,2,2,22, The machine dispensed most of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,orange,prior,25_60_2,most,9.35665,204,most,3,25,0,competitor,3,1,23, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,25_60_2,most,9.35665,204,most,3,60,0,target,3,2,23, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,25_60_2,most,9.35665,204,most,3,25,0,competitor,3,1,23, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,25_60_2,most,9.35665,204,most,3,60,0,target,3,2,23, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,25_60_2,most,9.35665,204,most,3,25,0,competitor,3,1,23, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,25_60_2,most,9.35665,204,most,3,60,0,target,3,2,23, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,prior,25_100_1,some,9.35665,204,most,3,100,0,competitor,4,1,24, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,25_100_1,some,9.35665,204,most,3,25,0,target,4,2,24, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,25_100_1,some,9.35665,204,most,3,100,0,competitor,4,1,24, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,25_100_1,some,9.35665,204,most,3,25,0,target,4,2,24, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,25_100_1,some,9.35665,204,most,3,100,0,competitor,4,1,24, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,25_100_1,some,9.35665,204,most,3,25,0,target,4,2,24, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,40_0_2,none,9.35665,204,most,3,0,0,target,5,1,25, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,40_0_2,none,9.35665,204,most,3,40,0,competitor,5,2,25, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,40_0_2,none,9.35665,204,most,3,0,0,target,5,1,25, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,40_0_2,none,9.35665,204,most,3,40,0,competitor,5,2,25, The machine dispensed none of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,40_0_2,none,9.35665,204,most,3,0,0,target,5,1,25, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,40_0_2,none,9.35665,204,most,3,40,0,competitor,5,2,25, The machine dispensed none of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,prior,40_0_1,some,9.35665,204,most,3,40,0,target,6,1,26, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,40_0_1,some,9.35665,204,most,3,0,0,competitor,6,2,26, The machine dispensed,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,quantifier,40_0_1,some,9.35665,204,most,3,40,0,target,6,1,26, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,quantifier,40_0_1,some,9.35665,204,most,3,0,0,competitor,6,2,26, The machine dispensed some of the,"['gumball_blue_0.png', 'gumball_orange_0.png']"
1,blue,color,40_0_1,some,9.35665,204,most,3,40,0,target,6,1,26, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,color,40_0_1,some,9.35665,204,most,3,0,0,competitor,6,2,26, The machine dispensed some of the blue ones.,"['gumball_blue_0.png', 'gumball_orange_0.png']"
0,orange,prior,25_60_1,some,9.35665,204,most,3,60,0,competitor,7,1,27, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,25_60_1,some,9.35665,204,most,3,25,0,target,7,2,27, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,25_60_1,some,9.35665,204,most,3,60,0,competitor,7,1,27, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,25_60_1,some,9.35665,204,most,3,25,0,target,7,2,27, The machine dispensed some of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,25_60_1,some,9.35665,204,most,3,60,0,competitor,7,1,27, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,25_60_1,some,9.35665,204,most,3,25,0,target,7,2,27, The machine dispensed some of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,orange,prior,60_90_2,most,9.35665,204,most,3,60,0,competitor,8,1,28, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,blue,prior,60_90_2,most,9.35665,204,most,3,90,0,target,8,2,28, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,60_90_2,most,9.35665,204,most,3,60,0,competitor,8,1,28, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,60_90_2,most,9.35665,204,most,3,90,0,target,8,2,28, The machine dispensed most of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,60_90_2,most,9.35665,204,most,3,60,0,competitor,8,1,28, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,color,60_90_2,most,9.35665,204,most,3,90,0,target,8,2,28, The machine dispensed most of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,prior,40_0_2,none,9.35665,204,most,4,40,0,competitor,1,1,29, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,prior,40_0_2,none,9.35665,204,most,4,0,0,target,1,2,29, The machine dispensed,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,quantifier,40_0_2,none,9.35665,204,most,4,40,0,competitor,1,1,29, The machine dispensed none of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
1,blue,quantifier,40_0_2,none,9.35665,204,most,4,0,0,target,1,2,29, The machine dispensed none of the,"['gumball_orange_0.png', 'gumball_blue_0.png']"
0,orange,color,40_0_2,none,9.35665,204,most,4,40,0,competitor,1,1,29, The machine dispensed none of the blue ones.,"['gumball_orange_0.png', 'gumball_blue_0.png']"
