workerid,Answer.time_in_minutes,position,Answer.bonus,init_images,block,utterance_label,block_trial,quantifier,color,trial,clicked,type,percentage,utterance,label,Answer.condition
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,4,some,blue,8,0,25_100_1,100, The machine dispensed some of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,4,some,orange,8,1,25_100_1,25, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,4,some,blue,8,0,25_100_1,100, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,5,all,blue,9,0,25_100_2,25, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,5,all,orange,9,1,25_100_2,100, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,5,all,blue,9,0,25_100_2,25, The machine dispensed all of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,5,all,orange,9,1,25_100_2,100, The machine dispensed all of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,5,all,blue,9,0,25_100_2,25, The machine dispensed all of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,5,all,orange,9,1,25_100_2,100, The machine dispensed all of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,6,some,orange,10,1,40_0_1,40, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,6,some,blue,10,0,40_0_1,0, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,6,some,orange,10,1,40_0_1,40, The machine dispensed some of the,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,6,some,blue,10,0,40_0_1,0, The machine dispensed some of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,6,some,orange,10,1,40_0_1,40, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,6,some,blue,10,0,40_0_1,0, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,7,many,orange,11,1,25_50_2,25, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,prior,7,many,blue,11,0,25_50_2,50, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,7,many,orange,11,0,25_50_2,25, The machine dispensed many of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,quantifier,7,many,blue,11,1,25_50_2,50, The machine dispensed many of the,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,7,many,orange,11,0,25_50_2,25, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",1,color,7,many,blue,11,1,25_50_2,50, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,8,some,blue,12,1,25_50_1,50, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,prior,8,some,orange,12,0,25_50_1,25, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,8,some,blue,12,1,25_50_1,50, The machine dispensed some of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,quantifier,8,some,orange,12,0,25_50_1,25, The machine dispensed some of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,8,some,blue,12,0,25_50_1,50, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",1,color,8,some,orange,12,1,25_50_1,25, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,1,many,blue,13,1,50_90_2,90, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,1,many,orange,13,0,50_90_2,50, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,1,many,blue,13,1,50_90_2,90, The machine dispensed many of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,1,many,orange,13,0,50_90_2,50, The machine dispensed many of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,1,many,blue,13,1,50_90_2,90, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,1,many,orange,13,0,50_90_2,50, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,prior,2,none,orange,14,1,40_0_2,0, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,prior,2,none,blue,14,0,40_0_2,40, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,quantifier,2,none,orange,14,1,40_0_2,0, The machine dispensed none of the,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,quantifier,2,none,blue,14,0,40_0_2,40, The machine dispensed none of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,color,2,none,orange,14,1,40_0_2,0, The machine dispensed none of the orange ones.,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,color,2,none,blue,14,0,40_0_2,40, The machine dispensed none of the orange ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,prior,3,some,orange,15,0,25_50_1,25, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,prior,3,some,blue,15,1,25_50_1,50, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,quantifier,3,some,orange,15,0,25_50_1,25, The machine dispensed some of the,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,quantifier,3,some,blue,15,1,25_50_1,50, The machine dispensed some of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,color,3,some,orange,15,0,25_50_1,25, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",2,color,3,some,blue,15,1,25_50_1,50, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,4,many,blue,16,1,25_50_2,50, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,4,many,orange,16,0,25_50_2,25, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,4,many,blue,16,1,25_50_2,50, The machine dispensed many of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,4,many,orange,16,0,25_50_2,25, The machine dispensed many of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,4,many,blue,16,1,25_50_2,50, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,4,many,orange,16,0,25_50_2,25, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,5,many,blue,17,1,50_90_1,50, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,5,many,orange,17,0,50_90_1,90, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,5,many,blue,17,1,50_90_1,50, The machine dispensed many of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,5,many,orange,17,0,50_90_1,90, The machine dispensed many of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,5,many,blue,17,1,50_90_1,50, The machine dispensed many of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,5,many,orange,17,0,50_90_1,90, The machine dispensed many of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,6,some,blue,18,0,25_100_1,25, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,6,some,orange,18,1,25_100_1,100, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,6,some,blue,18,1,25_100_1,25, The machine dispensed some of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,6,some,orange,18,0,25_100_1,100, The machine dispensed some of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,6,some,blue,18,1,25_100_1,25, The machine dispensed some of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,6,some,orange,18,0,25_100_1,100, The machine dispensed some of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,7,all,blue,19,1,25_100_2,100, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,7,all,orange,19,0,25_100_2,25, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,7,all,blue,19,1,25_100_2,100, The machine dispensed all of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,7,all,orange,19,0,25_100_2,25, The machine dispensed all of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,7,all,blue,19,1,25_100_2,100, The machine dispensed all of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,7,all,orange,19,0,25_100_2,25, The machine dispensed all of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,8,some,blue,20,1,40_0_1,0, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,prior,8,some,orange,20,0,40_0_1,40, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,8,some,blue,20,0,40_0_1,0, The machine dispensed some of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,quantifier,8,some,orange,20,1,40_0_1,40, The machine dispensed some of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,8,some,blue,20,0,40_0_1,0, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",2,color,8,some,orange,20,1,40_0_1,40, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,1,some,orange,21,1,25_50_1,50, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,1,some,blue,21,0,25_50_1,25, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,1,some,orange,21,1,25_50_1,50, The machine dispensed some of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,1,some,blue,21,0,25_50_1,25, The machine dispensed some of the,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,color,1,some,orange,21,1,25_50_1,50, The machine dispensed some of the blue ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,color,1,some,blue,21,0,25_50_1,25, The machine dispensed some of the blue ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,2,some,blue,22,1,40_0_1,40, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,2,some,orange,22,0,40_0_1,0, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,2,some,blue,22,1,40_0_1,40, The machine dispensed some of the,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,2,some,orange,22,0,40_0_1,0, The machine dispensed some of the,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,2,some,blue,22,1,40_0_1,40, The machine dispensed some of the blue ones.,target,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,2,some,orange,22,0,40_0_1,0, The machine dispensed some of the blue ones.,competitor,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,3,many,blue,23,1,50_90_1,90, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,3,many,orange,23,0,50_90_1,50, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,3,many,blue,23,1,50_90_1,90, The machine dispensed many of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,3,many,orange,23,0,50_90_1,50, The machine dispensed many of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,3,many,blue,23,0,50_90_1,90, The machine dispensed many of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,3,many,orange,23,1,50_90_1,50, The machine dispensed many of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,4,some,blue,24,1,25_100_1,100, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,4,some,orange,24,0,25_100_1,25, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,4,some,blue,24,1,25_100_1,100, The machine dispensed some of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,4,some,orange,24,0,25_100_1,25, The machine dispensed some of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,4,some,blue,24,0,25_100_1,100, The machine dispensed some of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,4,some,orange,24,1,25_100_1,25, The machine dispensed some of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,5,all,orange,25,1,25_100_2,25, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,5,all,blue,25,0,25_100_2,100, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,5,all,orange,25,0,25_100_2,25, The machine dispensed all of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,5,all,blue,25,1,25_100_2,100, The machine dispensed all of the,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,color,5,all,orange,25,0,25_100_2,25, The machine dispensed all of the blue ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,color,5,all,blue,25,1,25_100_2,100, The machine dispensed all of the blue ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,6,many,blue,26,1,50_90_2,50, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,6,many,orange,26,0,50_90_2,90, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,6,many,blue,26,0,50_90_2,50, The machine dispensed many of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,6,many,orange,26,1,50_90_2,90, The machine dispensed many of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,6,many,blue,26,0,50_90_2,50, The machine dispensed many of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,6,many,orange,26,1,50_90_2,90, The machine dispensed many of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,7,many,blue,27,1,25_50_2,25, The machine dispensed,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,prior,7,many,orange,27,0,25_50_2,50, The machine dispensed,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,7,many,blue,27,0,25_50_2,25, The machine dispensed many of the,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,quantifier,7,many,orange,27,1,25_50_2,50, The machine dispensed many of the,target,many_many
0,5.7963,1,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,7,many,blue,27,0,25_50_2,25, The machine dispensed many of the orange ones.,competitor,many_many
0,5.7963,2,189.5,"['gumball_blue_0.png', 'gumball_orange_0.png']",3,color,7,many,orange,27,1,25_50_2,50, The machine dispensed many of the orange ones.,target,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,8,none,orange,28,1,40_0_2,0, The machine dispensed,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,prior,8,none,blue,28,0,40_0_2,40, The machine dispensed,competitor,many_many
0,5.7963,1,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,8,none,orange,28,1,40_0_2,0, The machine dispensed none of the,target,many_many
0,5.7963,2,189.5,"['gumball_orange_0.png', 'gumball_blue_0.png']",3,quantifier,8,none,blue,28,0,40_0_2,40, The machine dispensed none of the,competitor,many_many
