type,trial,workerid,quantifier,block,color,Answer.time_in_minutes,Answer.bonus,label,utterance,block_trial,Answer.condition,position,utterance_label,init_images,percentage,clicked
50_90_2,5,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the blue ones.,1,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,0
50_90_2,5,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed many of the blue ones.,1,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
25_50_1,6,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed,2,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_1,6,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed,2,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_1,6,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed some of the,2,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,0
25_50_1,6,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the,2,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
25_50_1,6,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed some of the blue ones.,2,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,0
25_50_1,6,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the blue ones.,2,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
25_50_2,7,0,some,1,blue,6.815383333333333,191.5,competitor, The machine dispensed,3,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_2,7,0,some,1,orange,6.815383333333333,191.5,target, The machine dispensed,3,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_2,7,0,some,1,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the,3,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_2,7,0,some,1,orange,6.815383333333333,191.5,target, The machine dispensed some of the,3,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_2,7,0,some,1,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the orange ones.,3,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,0
25_50_2,7,0,some,1,orange,6.815383333333333,191.5,target, The machine dispensed some of the orange ones.,3,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
50_90_1,8,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed,4,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
50_90_1,8,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed,4,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,0
50_90_1,8,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the,4,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
50_90_1,8,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed some of the,4,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,0
50_90_1,8,0,some,1,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the blue ones.,4,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_1,8,0,some,1,blue,6.815383333333333,191.5,target, The machine dispensed some of the blue ones.,4,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
90_0_2,9,0,none,1,orange,6.815383333333333,191.5,competitor, The machine dispensed,5,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
90_0_2,9,0,none,1,blue,6.815383333333333,191.5,target, The machine dispensed,5,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
90_0_2,9,0,none,1,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the,5,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
90_0_2,9,0,none,1,blue,6.815383333333333,191.5,target, The machine dispensed none of the,5,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
90_0_2,9,0,none,1,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the blue ones.,5,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
90_0_2,9,0,none,1,blue,6.815383333333333,191.5,target, The machine dispensed none of the blue ones.,5,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
90_0_1,10,0,many,1,blue,6.815383333333333,191.5,competitor, The machine dispensed,6,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
90_0_1,10,0,many,1,orange,6.815383333333333,191.5,target, The machine dispensed,6,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
90_0_1,10,0,many,1,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the,6,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
90_0_1,10,0,many,1,orange,6.815383333333333,191.5,target, The machine dispensed many of the,6,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
90_0_1,10,0,many,1,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the orange ones.,6,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
90_0_1,10,0,many,1,orange,6.815383333333333,191.5,target, The machine dispensed many of the orange ones.,6,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
75_100_1,11,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed,7,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
75_100_1,11,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed,7,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
75_100_1,11,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the,7,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_1,11,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed many of the,7,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
75_100_1,11,0,many,1,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the blue ones.,7,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_1,11,0,many,1,blue,6.815383333333333,191.5,target, The machine dispensed many of the blue ones.,7,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
75_100_2,12,0,all,1,blue,6.815383333333333,191.5,competitor, The machine dispensed,8,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,1
75_100_2,12,0,all,1,orange,6.815383333333333,191.5,target, The machine dispensed,8,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,0
75_100_2,12,0,all,1,blue,6.815383333333333,191.5,competitor, The machine dispensed all of the,8,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,0
75_100_2,12,0,all,1,orange,6.815383333333333,191.5,target, The machine dispensed all of the,8,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
75_100_2,12,0,all,1,blue,6.815383333333333,191.5,competitor, The machine dispensed all of the orange ones.,8,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,0
75_100_2,12,0,all,1,orange,6.815383333333333,191.5,target, The machine dispensed all of the orange ones.,8,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
75_100_2,13,0,all,2,orange,6.815383333333333,191.5,target, The machine dispensed,1,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_2,13,0,all,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,1,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
75_100_2,13,0,all,2,orange,6.815383333333333,191.5,target, The machine dispensed all of the,1,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
75_100_2,13,0,all,2,blue,6.815383333333333,191.5,competitor, The machine dispensed all of the,1,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
75_100_2,13,0,all,2,orange,6.815383333333333,191.5,target, The machine dispensed all of the orange ones.,1,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
75_100_2,13,0,all,2,blue,6.815383333333333,191.5,competitor, The machine dispensed all of the orange ones.,1,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
25_50_2,14,0,some,2,orange,6.815383333333333,191.5,competitor, The machine dispensed,2,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,0
25_50_2,14,0,some,2,blue,6.815383333333333,191.5,target, The machine dispensed,2,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
25_50_2,14,0,some,2,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the,2,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,0
25_50_2,14,0,some,2,blue,6.815383333333333,191.5,target, The machine dispensed some of the,2,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
25_50_2,14,0,some,2,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the blue ones.,2,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,0
25_50_2,14,0,some,2,blue,6.815383333333333,191.5,target, The machine dispensed some of the blue ones.,2,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_2,15,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,3,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
50_90_2,15,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed,3,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,0
50_90_2,15,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the,3,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
50_90_2,15,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed many of the,3,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,0
50_90_2,15,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the orange ones.,3,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
50_90_2,15,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed many of the orange ones.,3,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
25_50_1,16,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed,4,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,0
25_50_1,16,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,4,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
25_50_1,16,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed some of the,4,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,0
25_50_1,16,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the,4,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
25_50_1,16,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed some of the orange ones.,4,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",25,1
25_50_1,16,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the orange ones.,4,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,0
75_100_1,17,0,many,2,blue,6.815383333333333,191.5,target, The machine dispensed,5,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,0
75_100_1,17,0,many,2,orange,6.815383333333333,191.5,competitor, The machine dispensed,5,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
75_100_1,17,0,many,2,blue,6.815383333333333,191.5,target, The machine dispensed many of the,5,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,0
75_100_1,17,0,many,2,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the,5,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,1
75_100_1,17,0,many,2,blue,6.815383333333333,191.5,target, The machine dispensed many of the blue ones.,5,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",75,1
75_100_1,17,0,many,2,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the blue ones.,5,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",100,0
90_0_1,18,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed,6,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
90_0_1,18,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,6,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
90_0_1,18,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed many of the,6,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
90_0_1,18,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the,6,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
90_0_1,18,0,many,2,orange,6.815383333333333,191.5,target, The machine dispensed many of the orange ones.,6,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
90_0_1,18,0,many,2,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the orange ones.,6,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
90_0_2,19,0,none,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,7,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
90_0_2,19,0,none,2,orange,6.815383333333333,191.5,target, The machine dispensed,7,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,0
90_0_2,19,0,none,2,blue,6.815383333333333,191.5,competitor, The machine dispensed none of the,7,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,0
90_0_2,19,0,none,2,orange,6.815383333333333,191.5,target, The machine dispensed none of the,7,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
90_0_2,19,0,none,2,blue,6.815383333333333,191.5,competitor, The machine dispensed none of the orange ones.,7,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,0
90_0_2,19,0,none,2,orange,6.815383333333333,191.5,target, The machine dispensed none of the orange ones.,7,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",0,1
50_90_1,20,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed,8,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
50_90_1,20,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed,8,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
50_90_1,20,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the,8,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,1
50_90_1,20,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed some of the,8,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
50_90_1,20,0,some,2,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the orange ones.,8,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",90,0
50_90_1,20,0,some,2,orange,6.815383333333333,191.5,target, The machine dispensed some of the orange ones.,8,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
50_90_2,21,0,many,3,orange,6.815383333333333,191.5,target, The machine dispensed,1,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_2,21,0,many,3,blue,6.815383333333333,191.5,competitor, The machine dispensed,1,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_2,21,0,many,3,orange,6.815383333333333,191.5,target, The machine dispensed many of the,1,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_2,21,0,many,3,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the,1,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_2,21,0,many,3,orange,6.815383333333333,191.5,target, The machine dispensed many of the orange ones.,1,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
50_90_2,21,0,many,3,blue,6.815383333333333,191.5,competitor, The machine dispensed many of the orange ones.,1,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,0
75_100_1,22,0,many,3,orange,6.815383333333333,191.5,competitor, The machine dispensed,2,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_1,22,0,many,3,blue,6.815383333333333,191.5,target, The machine dispensed,2,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
75_100_1,22,0,many,3,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the,2,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_1,22,0,many,3,blue,6.815383333333333,191.5,target, The machine dispensed many of the,2,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
75_100_1,22,0,many,3,orange,6.815383333333333,191.5,competitor, The machine dispensed many of the blue ones.,2,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,0
75_100_1,22,0,many,3,blue,6.815383333333333,191.5,target, The machine dispensed many of the blue ones.,2,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,1
50_90_1,23,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed,3,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_1,23,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed,3,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_1,23,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the,3,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_1,23,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed some of the,3,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
50_90_1,23,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the blue ones.,3,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
50_90_1,23,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed some of the blue ones.,3,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",50,1
25_50_1,24,0,some,3,blue,6.815383333333333,191.5,competitor, The machine dispensed,4,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_1,24,0,some,3,orange,6.815383333333333,191.5,target, The machine dispensed,4,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_1,24,0,some,3,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the,4,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_1,24,0,some,3,orange,6.815383333333333,191.5,target, The machine dispensed some of the,4,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_1,24,0,some,3,blue,6.815383333333333,191.5,competitor, The machine dispensed some of the orange ones.,4,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_1,24,0,some,3,orange,6.815383333333333,191.5,target, The machine dispensed some of the orange ones.,4,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_2,25,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed,5,many_some,1,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
25_50_2,25,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed,5,many_some,2,prior,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,0
25_50_2,25,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed some of the,5,many_some,1,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,0
25_50_2,25,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the,5,many_some,2,quantifier,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,1
25_50_2,25,0,some,3,blue,6.815383333333333,191.5,target, The machine dispensed some of the blue ones.,5,many_some,1,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",50,1
25_50_2,25,0,some,3,orange,6.815383333333333,191.5,competitor, The machine dispensed some of the blue ones.,5,many_some,2,color,"['gumball_blue_0.png', 'gumball_orange_0.png']",25,0
90_0_2,26,0,none,3,orange,6.815383333333333,191.5,competitor, The machine dispensed,6,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,1
90_0_2,26,0,none,3,blue,6.815383333333333,191.5,target, The machine dispensed,6,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,0
90_0_2,26,0,none,3,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the,6,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
90_0_2,26,0,none,3,blue,6.815383333333333,191.5,target, The machine dispensed none of the,6,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
90_0_2,26,0,none,3,orange,6.815383333333333,191.5,competitor, The machine dispensed none of the blue ones.,6,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",90,0
90_0_2,26,0,none,3,blue,6.815383333333333,191.5,target, The machine dispensed none of the blue ones.,6,many_some,2,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",0,1
75_100_2,27,0,all,3,orange,6.815383333333333,191.5,competitor, The machine dispensed,7,many_some,1,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
75_100_2,27,0,all,3,blue,6.815383333333333,191.5,target, The machine dispensed,7,many_some,2,prior,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
75_100_2,27,0,all,3,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the,7,many_some,1,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
75_100_2,27,0,all,3,blue,6.815383333333333,191.5,target, The machine dispensed all of the,7,many_some,2,quantifier,"['gumball_orange_0.png', 'gumball_blue_0.png']",100,1
75_100_2,27,0,all,3,orange,6.815383333333333,191.5,competitor, The machine dispensed all of the blue ones.,7,many_some,1,color,"['gumball_orange_0.png', 'gumball_blue_0.png']",75,0
